2theta	Theorical peaks	2theta	I	2theta	I
deg	Intensity	deg	(a.u.)	deg	(a.u.)
2H-WSe2	2H-WSe2	x=15,d=21%	x=15,d=21%	x=0,d=4%	x=0,d=4%
13.62	1	10	0.00514683620950651	11.01315	0.0135545116461147
27.44	1	10.02	0.0036330608537693	11.03945	0.0113035819142689
31.39	1	10.04	0.00211928549803209	11.06575	0.0114993149344294
32.15	1	10.06	0.00302755071147442	11.09205	0.0124535134077119
34.36	1	10.08	0.00272479564032698	11.11835	0.0128449794480329
37.78	1	10.1	0.00302755071147442	11.14465	0.0119886474848307
41.68	1	10.12	0.00423857099606418	11.17095	0.0137502446662753
42.17	1	10.14	0.00333030578262186	11.19725	0.012502446662752
47.32	1	10.16	0.00302755071147442	11.22355	0.0111567821491486
53.1	1	10.18	0.0036330608537693	11.24985	0.0122577803875514
55.88	1	10.2	0.00333030578262186	11.27615	0.0129428459581131
56.64	1	10.22	0.00333030578262186	11.30245	0.012135447249951
57.8	1	10.24	0.00393581592491674	11.32875	0.0117929144646702
59.4	1	10.26	0.00272479564032698	11.35505	0.012502446662752
63.36	1	10.28	0.0036330608537693	11.38135	0.0115727148169896
65.5	1	10.3	0.00333030578262186	11.40765	0.0119152476022705
65.95	1	10.32	0.00333030578262186	11.43395	0.0121599138774711
66.2	1	10.34	0.00272479564032698	11.46025	0.0119886474848307
67.26	1	10.36	0.00333030578262186	11.48655	0.0129673125856332
69.43	1	10.38	0.00393581592491674	11.51285	0.0134077118809943
72.07	1	10.4	0.00393581592491674	11.53915	0.0125513799177922
72.42	1	10.42	0.00272479564032698	11.56545	0.0131141123507536
72.74	1	10.44	9.08265213442325E-4	11.59175	0.012869446075553
73.5	1	10.46	0.00333030578262186	11.61805	0.0139215110589157
76.18	1	10.48	0.00151377535573721	11.64435	0.0106429829712273
80.71	1	10.5	0.00211928549803209	11.67065	0.0123801135251517
81.35	1	10.52	0.00211928549803209	11.69695	0.0115237815619495
83.64	1	10.54	0.00484408113835907	11.72325	0.0132364454883539
		10.56	0.00272479564032698	11.74955	0.0127960461929928
		10.58	0.0036330608537693	11.77585	0.012477980035232
		10.6	0.00242204056917953	11.80215	0.0118173810921902
		10.62	0.00302755071147442	11.82845	0.0120865139949109
		10.64	0.00242204056917953	11.85475	0.0131141123507536
