Field	M	M over mass	M with diamagnetism	M/Ms
kOe	emu	emu/g	emu/g	
x=0%, d=4%	x=0%, d=4%	x=0%, d=4%	x=0%, d=4%	x=0%, d=4%
2.1830259	-2.4881695E-6	-2.32539205607477E-4	1.41786370997109E-4	0.229771068104397
2.681909	-9.7713804E-6	-9.13213121495327E-4	-5.19341841725061E-4	0.0909531203124234
3.1715153	-7.9665968E-6	-7.44541757009346E-4	-3.31488229117529E-4	0.130396986850978
3.66844	-5.9724511E-6	-5.58173E-4	-1.25650496947674E-4	0.173617002285383
4.1653647	-6.3430429E-6	-5.92807747663552E-4	-1.40816269450722E-4	0.170432625374761
4.6546618	-8.3536028E-6	-7.80710542056075E-4	-3.09548929845066E-4	0.135003609957345
5.1526172	-9.1784754E-6	-8.57801439252337E-4	-3.67130470163633E-4	0.122913139298391
5.6519126	-9.2712263E-6	-8.66469747663552E-4	-3.56236921938716E-4	0.125200471739596
6.148425	-1.0184273E-5	-9.51801214953271E-4	-4.22115567538384E-4	0.111367847129907
6.6429789	-1.278934E-5	-0.00119526542056075	-6.46203683378873E-4	0.0643157749796911
7.1376361	-8.4199379E-6	-7.8691008411215E-4	-2.18468209980421E-4	0.154127946767849
7.6254902	-7.2488973E-6	-6.77467037383178E-4	-8.99115644409055E-5	0.181121152269299
8.1285991	-6.8208612E-6	-6.37463663551402E-4	-3.01969251455148E-5	0.19365951248538
8.6217099	-8.8568327E-6	-8.27741373831776E-4	-2.01155084764431E-4	0.157763206111046
9.1165732	-1.050173E-5	-9.81470093457944E-4	-3.35495592664468E-4	0.129555555532608
9.6088595	-6.4481495E-6	-6.02630794392523E-4	6.26309540393906E-5	0.21315070260306
10.101455	-8.9883017E-6	-8.40028196261682E-4	-1.5546708606796E-4	0.167356374418979
10.60209	-6.8910838E-6	-6.44026523364486E-4	6.01489275522428E-5	0.212629548284304
11.091903	-1.0637561E-5	-9.94164579439253E-4	-2.70798782117339E-4	0.143140028704399
11.588518	-6.6201521E-6	-6.18705803738318E-4	1.24116835031272E-4	0.226060972734069
12.081011	-8.7484634E-6	-8.17613401869159E-4	-5.54954171774979E-5	0.188347555321048
12.581546	-5.075583E-6	-4.74353551401869E-4	3.07374856120385E-4	0.264539896964609
13.077852	-1.0551901E-5	-9.86158971962617E-4	-1.8498582928027E-4	0.161158285643945
13.570964	-1.2225761E-5	-0.00114259448598131	-3.22101745622799E-4	0.132367878957301
14.061703	-1.9540468E-6	-1.82621196261682E-4	6.57098170185832E-4	0.337971754536803
14.558113	-1.2748769E-5	-0.00119147373831776	-3.32305562102027E-4	0.13022537038478
15.057099	-8.5824679E-6	-8.02099803738318E-4	7.66181071543918E-5	0.216087603273025
15.55021	-1.3578853E-5	-0.00126905168224299	-3.71014212853043E-4	0.122097664811715
16.045486	-9.6275448E-6	-8.99770542056075E-4	1.76713082020303E-5	0.203710467489059
16.536432	-8.8912846E-6	-8.30961177570094E-4	1.05715408814324E-4	0.222197201419025
17.042633	-1.0449171E-5	-9.76558037383178E-4	-2.0049040383582E-5	0.19579027700272
17.52822	-9.4813436E-6	-8.86106878504673E-4	8.9426894766386E-5	0.218777081010904
18.025763	-1.1802616E-5	-0.00110304822429907	-1.08021251538663E-4	0.177318637795269
18.52042	-9.3434936E-6	-8.73223700934579E-4	1.4118340093989E-4	0.229644461699902
19.009717	-1.3001636E-5	-0.0012151061682243	-1.81528936269531E-4	0.161884133950299
19.510662	-1.1042434E-5	-0.00103200317757009	2.1200540574189E-5	0.204451504984898
20.009648	-1.4341353E-5	-0.00134031336448598	-2.6755991166472E-4	0.143820098531619
20.488947	-1.1442752E-5	-0.00106941607476636	2.21157972509292E-5	0.204643682615686
20.96907	-1.4096789E-5	-0.00131745691588785	-2.07114341241E-4	0.156511933304162
21.46749	-1.4766175E-5	-0.00138001635514019	-2.50146221087455E-4	0.147476473714077
21.980906	-9.4840827E-6	-8.86362869158879E-4	2.63622351447216E-4	0.255353126845573
22.484531	-1.0541756E-5	-9.85210841121496E-4	1.84505865191E-4	0.238740935674092
22.958883	-9.6025976E-6	-8.97439028037383E-4	2.90862279333054E-4	0.261072729812664
23.481164	-1.1577916E-5	-0.00108204822429907	1.26715490787884E-4	0.226606615851711
23.967832	-1.2339689E-5	-0.00115324196261682	7.45888811586636E-5	0.215661524060381
24.453366	-1.457095E-5	-0.00136177102803738	-1.1491748447342E-4	0.175870626826933
24.957429	-1.4648979E-5	-0.00136906345794393	-1.02461268304748E-4	0.178486074681848
25.45224	-1.2513528E-5	-0.00116948859813084	1.16499754176733E-4	0.224461604393639
25.948986	-1.7058094E-5	-0.00159421439252337	-2.88764066329044E-4	0.139367834691531
26.437854	-1.546048E-5	-0.0014449046728972	-1.20301024381073E-4	0.174740237974278
26.93182	-1.8095979E-5	-0.00169121299065421	-3.47256285660642E-4	0.127086147579771
27.427278	-1.1523637E-5	-0.00107697542056075	2.86392795865174E-4	0.260134266575485
27.918051	-1.0354861E-5	-9.67744018691589E-4	4.14852155906767E-4	0.287107044914833
28.417422	-1.4275082E-5	-0.00133411981308411	6.80411800770444E-5	0.214286694777022
28.92539	-1.489193E-5	-0.00139176915887851	3.02934740569159E-5	0.206360760014696
29.417553	-1.0226745E-5	-9.55770560747664E-4	4.85574489064841E-4	0.301956704879639
29.904414	-1.6248744E-5	-0.00151857420560748	-5.81544655740636E-5	0.187789231482513
30.403837	-1.5724129E-5	-0.00146954476635514	1.04418295451354E-5	0.202192484484486
30.894662	-1.4419798E-5	-0.0013476446728972	1.51571918479568E-4	0.231825752193498
31.393208	-1.6208873E-5	-0.00151484794392523	3.90114340185523E-6	0.200819128136822
31.871729	-1.3075388E-5	-0.00122199887850467	3.15498146815398E-4	0.266245554841402
32.384999	-1.4664971E-5	-0.00137055803738318	1.87048354367325E-4	0.239274785422067
32.876802	-1.2219348E-5	-0.00114199514018692	4.34879564027957E-4	0.291312225757939
33.367936	-1.3099604E-5	-0.00122426205607477	3.71854749904171E-4	0.27807882384243
33.876882	-1.1990461E-5	-0.0011206038317757	4.95452930965382E-4	0.304030894130116
34.362044	-1.2886731E-5	-0.00120436738317757	4.30697504792182E-4	0.29043411335934
34.849832	-1.4692065E-5	-0.00137309018691589	2.81085710137516E-4	0.259019930906106
35.340553	-1.5443997E-5	-0.00144336420560748	2.300376123143E-4	0.24830129563667
35.835393	-1.6998194E-5	-0.00158861626168224	1.04172855096732E-4	0.221873309415455
36.340787	-1.5811166E-5	-0.00147767906542056	2.34910844581749E-4	0.249324534532641
36.831046	-1.5583641E-5	-0.00145641504672897	2.75382683478728E-4	0.257822459006191
37.333249	-1.4390008E-5	-0.00134486056074766	4.06612942736205E-4	0.285377046645589
37.821602	-1.6835284E-5	-0.00157339102803738	1.97215620622319E-4	0.241409619496628
38.310213	-1.753619E-5	-0.00163889626168224	1.5085364031574E-4	0.231674934396393
38.809223	-2.145577E-5	-0.00200521214953271	-1.95911572563559E-4	0.158864193164601
39.311477	-1.5583508E-5	-0.00145640261682243	3.72575731548029E-4	0.27823020929274
39.805082	-1.4800808E-5	-0.00138325308411215	4.65064177144105E-4	0.297650128099794
40.292097	-2.0241265E-5	-0.0018917070093458	-2.43090243142944E-5	0.194895802654918
40.791828	-1.8053394E-5	-0.00168723308411215	1.99743823894872E-4	0.24194046961487
41.283682	-1.7235084E-5	-0.00161075551401869	2.9549170457783E-4	0.262044776232057
41.789076	-1.8209992E-5	-0.00170186841121495	2.24179600604904E-4	0.247071281324784
42.271922	-1.7968146E-5	-0.00167926598130841	2.65699417351645E-4	0.255789251065857
42.756774	-1.5563035E-5	-0.00145448925233645	5.09472126085775E-4	0.306974522701487
43.255784	-1.6873415E-5	-0.0015769546728972	4.0655738049619E-4	0.285365380170032
43.737188	-1.7811174E-5	-0.00166459570093458	3.37777243290287E-4	0.270923525606814
44.254372	-1.9600943E-5	-0.0018318638317757	1.9077182518897E-4	0.24005660741692
44.73732	-1.9817837E-5	-0.00185213429906542	1.89422740989718E-4	0.239773338458895
45.250693	-1.9945968E-5	-0.00186410915887851	1.97561283036258E-4	0.241482198681737
45.738841	-1.9432224E-5	-0.00181609570093458	2.64699854476557E-4	0.255579371553323
46.238624	-1.5588676E-5	-0.00145688560747664	6.43490908214077E-4	0.335114620102607
46.726874	-2.2114194E-5	-0.00206674710280374	5.27585226336165E-5	0.21107777538396
47.222384	-1.8148665E-5	-0.00169613691588785	4.42782258285932E-4	0.292971564714905
47.718357	-1.6904129E-5	-0.00157982514018692	5.78525722565192E-4	0.321473795862827
48.219067	-1.8789847E-5	-0.00175606046728972	4.21907674604717E-4	0.288588501321336
48.71056	-1.8116419E-5	-0.00169312327102804	5.0410103786426E-4	0.305846748345511
49.208593	-1.6722713E-5	-0.00156287037383178	6.53866332222727E-4	0.337293161330521
49.701631	-1.8923548E-5	-0.00176855588785047	4.67497516639809E-4	0.298161059547847
50.297016	-2.092998E-5	-0.00195607289719626	3.03307051086134E-4	0.263685774668803
50.801432	-1.530816E-5	-0.00143066915887851	8.48473265639351E-4	0.37815503139314
51.304148	-1.9326653E-5	-0.00180622925233645	4.92609044245703E-4	0.303433759549286
51.806608	-1.7644079E-5	-0.00164897934579439	6.69544793047457E-4	0.340585188072602
52.309122	-1.8424088E-5	-0.00172187738317757	6.16334713585881E-4	0.329412598716159
52.804379	-2.1301506E-5	-0.00199079495327103	3.66820779961023E-4	0.277021834648341
53.308384	-1.8231089E-5	-0.00170384009345794	6.73522013471709E-4	0.34142029020043
53.804667	-2.2127441E-5	-0.00206798514018692	3.28820800787578E-4	0.269042929765013
54.301978	-2.1476189E-5	-0.00200712046728972	4.09169583663696E-4	0.2859138678551
54.790694	-2.0912909E-5	-0.00195447747663551	4.80959941443229E-4	0.300987782334067
55.308442	-2.6532251E-5	-0.00247964962616822	-2.39273984364258E-5	0.194975933135164
55.788969	-2.4355744E-5	-0.00227623775700935	1.98311001637396E-4	0.241639618068217
56.296167	-2.1499908E-5	-0.00200933719626168	4.85083034387682E-4	0.301853513504043
56.789566	-2.1999337E-5	-0.00205601280373832	4.57738268938458E-4	0.296111897657875
57.294497	-2.5597215E-5	-0.00239226308411215	1.41270641946047E-4	0.229662779807048
57.802927	-2.2463597E-5	-0.00209940158878505	4.54051877710396E-4	0.29533786131335
58.292311	-2.6071055E-5	-0.00243654719626168	1.36079808880462E-4	0.228572853859813
58.772584	-2.2944091E-5	-0.00214430757009346	4.47136014516887E-4	0.293885728554139
59.320294	-2.3664962E-5	-0.00221167869158879	4.01223581601858E-4	0.28424543550242
59.714128	-2.3131659E-5	-0.00216183728971963	4.66494975909229E-4	0.297950554771135
60.295457	-2.3490572E-5	-0.00219538056074766	4.55727549714592E-4	0.295689704336109
60.808009	-2.3075122E-5	-0.00215655345794393	5.14635888481175E-4	0.308058764585014
61.298112	-2.1507822E-5	-0.00201007682242991	6.803142322884E-4	0.342846461189571
61.789708	-2.8251124E-5	-0.00264029196261682	6.93592945285372E-5	0.214563460976966
62.30164	-2.4657202E-5	-0.00230441140186916	4.25296800306038E-4	0.289300120437891
62.794318	-2.4748709E-5	-0.00231296345794393	4.36047338254323E-4	0.291557424825939
63.286533	-2.5069219E-5	-0.0023429176635514	4.25377586827985E-4	0.289317083288621
63.797847	-2.4548417E-5	-0.00229424457943925	4.94083403394812E-4	0.303743332650916
64.293718	-2.0366625E-5	-0.00190342289719626	9.04332777965867E-4	0.389883925602479
64.79731	-2.6043129E-5	-0.00243393728971963	3.93548578244405E-4	0.282633905098973
65.291481	-2.0006814E-5	-0.00186979570093458	9.77051255186353E-4	0.405152718523508
65.786785	-1.942516E-5	-0.00181543551401869	0.00105081691998028	0.420641390776717
66.308035	-2.5552191E-5	-0.00238805523364486	4.98619214599753E-4	0.304695722809021
66.785372	-2.3641302E-5	-0.00220946747663551	6.95908521755808E-4	0.346120814362651
67.290816	-2.7273675E-5	-0.00254894158878505	3.7623716177583E-4	0.278999004543686
67.787614	-2.6094849E-5	-0.00243877093457944	5.0587182717224E-4	0.306218563271837
68.288169	-2.7357503E-5	-0.00255677598130841	4.07477986852341E-4	0.28555868107994
68.783163	-2.7093465E-5	-0.00253209953271028	4.51547767862E-4	0.294812070122609
69.287888	-2.8214521E-5	-0.00263687112149533	3.6655076159999E-4	0.276965138543072
69.790039	-2.6017802E-5	-0.00243157028037383	5.915253386936E-4	0.324203342111654
70.288122	-2.5852992E-5	-0.00241616747663551	6.26442498540344E-4	0.331534943424947
70.783889	-2.525039E-5	-0.00235984953271028	7.0218406018552E-4	0.347438497301207
71.270957	-2.3404069E-5	-0.0021872961682243	8.93820224929718E-4	0.387676591214912
71.780932	-2.4592288E-5	-0.0022983446728972	8.02751992131979E-4	0.368554876330031
72.288488	-2.3947165E-5	-0.00223805280373832	8.82929359348338E-4	0.385389822051847
72.778541	-2.8476108E-5	-0.0026613185046729	4.78863407760757E-4	0.300547570439192
73.270808	-2.6818048E-5	-0.00250635962616823	6.5310877775063E-4	0.337134096636059
73.772238	-2.7375765E-5	-0.00255848271028038	6.20631181606242E-4	0.330314733675557
74.29112	-2.6074339E-5	-0.00243685411214953	7.62589018290191E-4	0.360121804652477
74.766964	-2.5013195E-5	-0.00233768177570094	8.80404410751656E-4	0.384859655322116
75.27035	-3.0971678E-5	-0.00289454934579439	3.43258962601716E-4	0.272074529316141
75.776618	-3.270138E-5	-0.00305620373831776	2.01439605681444E-4	0.242296535114701
76.262449	-2.7870136E-5	-0.00260468560747664	6.71992072451539E-4	0.341099046501287
76.754613	-3.0957261E-5	-0.00289320196261682	4.0275817336736E-4	0.284567655724588
77.272674	-2.8207766E-5	-0.00263623981308411	6.80017395556397E-4	0.342784133996187
77.772919	-3.2196063E-5	-0.00300897785046729	3.26878419115793E-4	0.268635085367636
78.272493	-2.6939254E-5	-0.00251768728971963	8.37741751747876E-4	0.375901721510959
78.76507	-2.8428242E-5	-0.00265684504672897	7.17882631690238E-4	0.350734746708834
79.284054	-3.2973572E-5	-0.00308164224299065	3.13418670231939E-4	0.265808924447716
79.766381	-2.8192238E-5	-0.00263478859813084	7.7916936807028E-4	0.36360320218756
80.262701	-2.6494964E-5	-0.00247616485981308	9.57238390053072E-4	0.400992585549669
80.770347	-2.9419319E-5	-0.00274946906542056	7.03823208606257E-4	0.347782671419804
81.261264	-2.9665298E-5	-0.00277245775700935	7.00068116954989E-4	0.346994209958368
81.775292	-2.7687828E-5	-0.00258764747663551	9.05017461383807E-4	0.390027689467243
82.259567	-2.8379902E-5	-0.00265232728971963	8.59311021822586E-4	0.380430649107036
82.763199	-3.0808705E-5	-0.00287931822429907	6.52051847202022E-4	0.336912171558754
83.263275	-3.2963795E-5	-0.0030807285046729	4.70234006532567E-4	0.298735643877718
83.748685	-2.8894425E-5	-0.00270041355140187	8.69566801405476E-4	0.382584068439787
84.256125	-2.6973023E-5	-0.00252084327102804	0.00106901803508158	0.424463102507161
84.75893	-2.9181547E-5	-0.00272724738317757	8.82313281920598E-4	0.385260463475773
85.258548	-2.6590219E-5	-0.00248506719626168	0.00114406796459357	0.44022143348791
85.75111	-3.0283705E-5	-0.00283025280373832	8.1818040638478E-4	0.37179440046929
86.258705	-2.8552919E-5	-0.00266849710280374	9.99823133354884E-4	0.409934159299887
86.750498	-2.6180204E-5	-0.00244674803738318	0.00124084011945057	0.460540808281103
87.25284	-2.9662056E-5	-0.00277215476635514	9.35114609625251E-4	0.396347226695983
87.755339	-2.976547E-5	-0.00278181962616823	9.45137120049907E-4	0.398451666201213
88.248004	-3.1913592E-5	-0.00298257869158879	7.63680139326386E-4	0.360350908750778
88.742369	-3.1147654E-5	-0.00291099570093458	8.54631818848782E-4	0.379448150793356
89.246566	-2.5739855E-5	-0.00240559392523365	0.00137978749060078	0.489715767907683
89.747058	-3.0517349E-5	-0.00285208869158879	9.52901462382489E-4	0.40008195522507
90.247498	-3.2015463E-5	-0.00299209934579439	8.32497509009661E-4	0.374800581065531
90.751487	-2.8022302E-5	-0.00261890672897196	0.00122543587266691	0.457306358616668
91.241271	-3.3793414E-5	-0.00315826299065421	7.05268821201054E-4	0.348086208570164
91.745211	-2.8198096E-5	-0.00263533607476636	0.00124793956415643	0.462031487888426
92.24179	-2.6973178E-5	-0.00252085775700935	0.00138187331291985	0.490153730723699
92.738318	-2.855309E-5	-0.00266851308411215	0.00125367141869832	0.463235012816323
93.236131	-3.1513141E-5	-0.00294515336448598	9.96534916123365E-4	0.409243728065537
93.744654	-3.3117931E-5	-0.00309513373831776	8.66477926368786E-4	0.381935493344476
94.251116	-2.9007595E-5	-0.00271099018691589	0.00127046411408505	0.46676099683368
