Field	M	M over mass	M with diamagnetism	M/Ms
kOe	emu	emu/g	emu/g	
x=7.6%, d =38%	x=7.6%, d =38%	x=7.6%, d =38%	x=7.6%, d =38%	x=7.6%, d =38%
1.9829018	-1.1182732E-4	-0.0159753314285714	0.010565129872484	1.02190977809335
1.9729435	-1.124768E-4	-0.0160681142857143	0.0104262541924907	1.00045749857575
1.962973	-1.1109373E-4	-0.0158705328571429	0.0101847387231528	1.00550293893922
1.9530065	-1.1414057E-4	-0.0163057957142857	0.0100198938636514	0.95276758093463
1.943045	-1.1342136E-4	-0.0162030514285714	0.00993378647474379	0.949165022895898
1.9330844	-1.1191575E-4	-0.0159879642857143	0.00988069809986088	0.955821841843855
1.9231286	-1.0953475E-4	-0.0156478214285714	0.010010717471846	0.973903952310096
1.9131611	-1.0994867E-4	-0.0157069528571429	0.0101952105968721	0.955512446208038
1.9032086	-1.0351954E-4	-0.0147885057142857	0.010369281339279	1.02640473659597
1.8932386	-1.0252566E-4	-0.0146465228571429	0.010476793422722	1.02637403523339
1.8832804	-1.0206678E-4	-0.0145809685714286	0.010510096792342	1.01937990088248
1.8733149	-1.0238304E-4	-0.0146261485714286	0.0104795383347791	1.00226492867521
1.8633524	-1.0227891E-4	-0.0146112728571429	0.0104267733095349	0.990637649023749
1.8533816	-9.8288641E-5	-0.0140412344285714	0.0104084381477229	1.02969233582205
1.8434307	-1.0058698E-4	-0.0143695685714286	0.0104136754142479	0.98674114155231
1.8334663	-9.8029105E-5	-0.0140041578571429	0.0104371158255799	1.00711929034281
1.8235033	-9.7405363E-5	-0.0139150518571429	0.0104592952213874	1.0022694437028
1.8135442	-9.5361131E-5	-0.0136230187142857	0.0105313565413187	1.01595427872358
1.8035831	-9.3651862E-5	-0.0133788374285714	0.0105188534934815	1.02526707812515
1.7936282	-9.32808E-5	-0.0133258285714286	0.0104551258634404	1.01713170223863
1.7836578	-9.4647828E-5	-0.0135211182857143	0.0104085601248997	0.98630358782157
1.773709	-9.4220539E-5	-0.013460077	0.0103576108585226	0.978909616721195
1.763735	-9.0217531E-5	-0.0128882187142857	0.0103789365562488	1.01812630651727
1.7537784	-9.1260828E-5	-0.0130372611428571	0.0104569474510994	0.991539092456747
1.7438057	-8.8256253E-5	-0.0126080361428571	0.0105293076541985	1.01773340593506
1.7338556	-8.7383739E-5	-0.0124833912857143	0.0104294174357873	1.01614548300674
1.7238866	-8.6163725E-5	-0.0123091035714286	0.0104197155933432	1.01906589266747
1.7139448	-9.1535422E-5	-0.0130764888571429	0.0103721545203483	0.936036105849021
1.7039693	-8.3202821E-5	-0.0118861172857143	0.0103804136111873	1.03172826636896
1.6940104	-8.5211449E-5	-0.0121730641428571	0.0103939955003926	0.992545782997795
1.6840435	-8.2405714E-5	-0.0117722448571429	0.0105424978525737	1.01615388580015
1.6740855	-8.3763024E-5	-0.0119661462857143	0.0105247124547532	0.985468700706443
1.6641259	-7.7671675E-5	-0.0110959535714286	0.0105659741590242	1.05194554845481
1.6541516	-8.1514801E-5	-0.0116449715714286	0.010538687444927	0.988812861628414
1.6441016	-7.8121173E-5	-0.0111601675714286	0.0106156300772539	1.01998142489793
1.6341422	-7.9533032E-5	-0.0113618617142857	0.010619595452393	0.988582849915915
1.6241803	-7.2726682E-5	-0.010389526	0.0107174988185432	1.06438353853592
1.6141516	-7.5635554E-5	-0.0108050791428571	0.0106483027559384	1.0133668312107
1.6041591	-7.2737282E-5	-0.0103910402857143	0.0106085598877409	1.03814866569946
1.5941949	-7.8179696E-5	-0.011168528	0.0104689800070719	0.954167212913659
1.5842369	-7.1961228E-5	-0.0102801754285714	0.0104134976196998	1.02230435144321
1.5741802	-7.3850595E-5	-0.010550085	0.0104114905655692	0.984550092310978
1.5642128	-7.2100629E-5	-0.0103000898571429	0.0105137505137215	0.994385552474222
1.5542444	-6.9276165E-5	-0.009896595	0.0105475782830294	1.01823601076081
1.5442897	-6.8303023E-5	-0.00975757471428571	0.0105920466653278	1.01795473507815
1.5343261	-6.7375548E-5	-0.00962507828571428	0.0105883590230715	1.01706615499581
1.5243616	-6.7889262E-5	-0.009698466	0.0105050619338264	0.997376795253286
1.5144087	-6.6488372E-5	-0.00949833885714286	0.0104815589549788	1.00267762950434
1.5044428	-6.7533514E-5	-0.00964764485714286	0.0104600718749746	0.976054226249935
1.4944838	-6.2829483E-5	-0.00897564042857143	0.0105298299689347	1.02443497039244
1.4845206	-6.4444777E-5	-0.00920639671428571	0.0105910531975104	0.990377732099292
1.4745599	-5.9827504E-5	-0.00854678628571429	0.0107238133388241	1.03762454464645
1.4645111	-6.0969262E-5	-0.00870989457142857	0.0106798716578538	1.00963277699212
1.4544963	-5.6238145E-5	-0.00803402071428572	0.010684030227457	1.05829411235401
1.4444855	-6.2838739E-5	-0.00897696271428572	0.0106569968960246	0.959144026485695
1.4345204	-5.6538518E-5	-0.00807693114285714	0.0105950877403843	1.02833833848441
1.4245596	-5.5653467E-5	-0.00795049528571429	0.0105715571373651	1.02690000769956
1.4145948	-5.8788926E-5	-0.008398418	0.010607802043986	0.973010873988172
1.4046453	-5.3182465E-5	-0.007597495	0.0105714779916576	1.03317575944874
1.394675	-5.5638493E-5	-0.00794835614285714	0.010611464573616	0.988142302298283
1.3847072	-5.2637366E-5	-0.00751962371428572	0.010727119846003	1.01429802519791
1.3747531	-5.008262E-5	-0.00715466	0.0107317069252356	1.03464878323024
1.3647859	-4.877026E-5	-0.00696718	0.0107991685748949	1.0387761475617
1.3548357	-5.0778278E-5	-0.00725403971428571	0.0108136505702632	0.999612961343621
1.344866	-4.6900322E-5	-0.006700046	0.0108477926901654	1.03720401370941
1.3349078	-4.6625404E-5	-0.006660772	0.010842088145429	1.02781018492469
1.3249451	-4.3661348E-5	-0.00623733542857143	0.0107878086195023	1.05348898232346
1.3149867	-4.6564463E-5	-0.00665206614285714	0.010730374121989	1.00263900467343
