DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
Point3	Point3	Point3
0	48.6765	156.659
0.0400001	45.6657	150.474
0.0800002	30.8453	149.915
0.12	19.0743	117.882
0.16	11.1105	103.279
0.2	7.03148	18.905
0.24	15.4226	-21.5078
0.28	27.0576	-19.4062
0.32	37.1969	-22.6791
0.36	48.6765	-21.4749
0.4	55.9022	-23.5757
0.44	65.3034	-24.9524
0.48	73.6751	-21.9649
0.52	86.5532	-22.9301
0.56	98.6543	-23.4708
0.6	113.3	-23.91
0.64	117.67	-24.4691
0.68	127.033	-24.9354
0.72	128.995	-25.5486
0.76	162.015	-23.252
0.8	150.477	-24.7324
0.84	173.262	-24.775
0.88	190.588	-25.2322
0.92	192.278	-24.2385
0.96	206.011	-24.0415
1	232.971	-25.671
1.04	232.641	-33.2326
1.08	238.118	-30.8579
1.12	246.976	-35.0971
1.16	237.361	-38.3126
1.2	239.07	-40.4947
1.24	244.354	-39.391
1.28	248.063	-42.6133
1.32	231.65	-45.5568
1.36	244.354	-43.0615
1.4	240.236	-45.9176
1.44	266.419	-45.4063
1.48	264.224	-44.8423
1.52	266.924	-45.9995
1.56	268.692	-45.5564
1.6	261.835	-47.0713
1.64	266.089	-48.2429
1.68	270.343	-49.7636
1.72	264.302	-49.4897
1.76	260.883	-50.2396
1.8	253.25	-51.1801
1.84	268.323	-50.3964
1.88	265.157	-52.0153
1.92	264.982	-52.583
1.96	261.291	-52.7437
2	260.126	-54.9661
2	235.205	-56.7961
1.96	249.015	-55.059
1.92	256.183	-53.0313
1.88	263.02	-52.4946
1.84	252.667	-51.2796
1.8	247.209	-54.0564
1.76	245.849	-53.8077
1.72	239.536	-51.1409
1.68	234.68	-50.7124
1.64	245.402	-48.9053
1.6	244.742	-49.1508
1.56	235.069	-50.4411
1.52	247.015	-47.8087
1.48	243.868	-47.4944
1.44	237.866	-48.3147
1.4	219.607	-48.4662
1.36	220.598	-49.2411
1.32	223.492	-45.6316
1.28	230.621	-43.2167
1.24	217.646	-44.1013
1.2	215.198	-43.8976
1.16	221.142	-39.0201
1.12	215.528	-38.1626
1.08	217.801	-35.1382
1.04	199.581	-35.0481
1	193.54	-27.4253
0.96	182.022	-26.7121
0.92	173.048	-26.3055
0.88	166.677	-25.6131
0.84	159.199	-24.8003
0.8	150.808	-25.5903
0.76	134.763	-25.4761
0.72	128.062	-25.3611
0.68	116.33	-25.42
0.64	108.852	-26.9347
0.6	96.7314	-25.2539
0.56	88.2625	-25.2766
0.52	78.3757	-23.898
0.48	71.5191	-23.7082
0.44	61.2049	-23.3108
0.4	50.7354	-24.8969
0.36	45.2967	-21.9439
0.32	36.3617	-24.5087
0.28	24.6296	-29.1366
0.24	20.57	-21.2606
0.2	9.55659	-15.2476
0.16	9.18754	59.1971
0.12	15.578	137.043
0.0800002	26.2224	155.336
0.0400001	32.3603	151.663
0	43.0241	152.572
-0.0400001	49.9196	151.451
-0.0799999	62.8365	152.555
-0.12	74.1801	151.984
-0.16	84.1252	153.232
-0.2	95.663	153.714
-0.24	105.356	154.56
-0.28	116.505	153.468
-0.32	123.167	154.199
-0.36	139.775	154.847
-0.4	147.156	155.102
-0.44	158.383	155.145
-0.48	170.484	154.641
-0.52	187.15	155.448
-0.56	201.698	155.244
-0.6	210.905	155.107
-0.64	227.785	154.933
-0.68	244.897	151.441
-0.72	232.796	140.43
-0.76	249.093	143.028
-0.8	253.094	142.151
-0.84	248.161	142.432
-0.88	263.739	140.759
-0.92	253.405	138.524
-0.96	248.705	138.062
-1	259.64	139.689
-1.04	261.019	136.458
-1.08	257.873	136.281
-1.12	251.812	135.28
-1.16	257.465	134.729
-1.2	261.544	134.553
-1.24	264.011	132.9
-1.28	259.291	131.685
-1.32	262.515	131.966
-1.36	264.477	130.57
-1.4	267.585	131.058
-1.44	273.373	131.237
-1.48	267.643	131.168
-1.52	268.323	130.456
-1.56	272.266	128.719
-1.6	270.576	128.829
-1.64	267.216	128.11
-1.68	262.418	126.418
-1.72	270.09	126.743
-1.76	277.782	126.838
-1.8	276.248	125.302
-1.84	268.206	125.899
-1.88	263.913	124.319
-1.92	258.514	123.015
-1.96	268.75	124.447
-2	264.632	123.802
-2	276.772	123.304
-1.96	261.602	122.973
-1.92	268.264	122.952
-1.88	250.22	123.74
-1.84	266.205	127.756
-1.8	272.227	124.625
-1.76	263.136	124.973
-1.72	259.232	124.231
-1.68	271.664	127.65
-1.64	248.685	125.345
-1.6	263.234	125.825
-1.56	248.316	124.79
-1.52	251.268	126.369
-1.48	248.161	126.743
-1.44	238.992	125.11
-1.4	242.994	126.132
-1.36	250.938	128.644
-1.32	249.637	127.807
-1.28	233.126	127.32
-1.24	235.924	128.825
-1.2	231.98	128.422
-1.16	230.329	129.841
-1.12	220.326	128.111
-1.08	237.516	134.12
-1.04	226.619	131.066
-1	236.079	132.578
-0.96	234.02	132.231
-0.92	242.431	134.705
-0.88	230.077	136.451
-0.84	219.802	136.994
-0.8	219.044	137.992
-0.76	210.595	138.802
-0.72	208.73	139.563
-0.68	224.425	143.115
-0.64	194.356	143.89
-0.6	193.171	148.078
-0.56	186.528	145.709
-0.52	178.39	152.594
-0.48	170.814	153.635
-0.44	162.948	153.058
-0.4	151.623	153.342
-0.36	144.864	154.637
-0.32	135.89	154.265
-0.28	125.362	154.51
-0.24	112.756	155.166
-0.2	98.4407	152.82
-0.16	91.5063	152.011
-0.12	83.8533	154.949
-0.0799999	67.7896	152.26
-0.0400001	64.4876	153.207
