DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
Point1	Point1	Point1
0	52.64	162.448
0.0560001	38.5818	141.791
0.112	26.5816	90.3583
0.168	16.7967	38.8421
0.224	11.0757	9.84513
0.28	8.56403	13.6864
0.336	17.8257	-12.2834
0.392	32.6689	-7.0016
0.448	41.4074	-11.6639
0.504	50.5993	-11.4068
0.56	61.3087	-13.273
0.616	74.5821	-14.3484
0.672	82.8845	-15.4998
0.728	97.78	-14.3114
0.784	108.507	-12.251
0.84	119.251	-14.4486
0.896	125.181	-15.0218
0.952	142.03	-14.0937
1.008	153.926	-14.2994
1.064	165.891	-13.0941
1.12	177.298	-13.3648
1.176	189.368	-15.2893
1.232	201.979	-14.2026
1.288	215.235	-12.8123
1.344	224.636	-13.6017
1.4	233.078	-13.6791
1.456	246.874	-14.1293
1.512	252.7	-13.7994
1.568	269.776	-14.1671
1.624	278.183	-14.5953
1.68	295.468	-13.7428
1.736	305.445	-14.2707
1.792	317.044	-13.7422
1.848	329.933	-14.1331
1.904	337.73	-14.4392
1.96	352.05	-13.5868
2.016	362.166	-14.2935
1.96	307.73	-14.2136
1.904	293.2	-14.7123
1.848	283.851	-13.9302
1.792	276.718	-13.9608
1.736	263.688	-14.1241
1.68	250.223	-13.8358
1.624	239.932	-14.3489
1.568	228.874	-14.8006
1.512	217.258	-13.9181
1.456	208.781	-14.6762
1.4	192.891	-14.3091
1.344	181.38	-14.0008
1.288	168.071	-13.9714
1.232	160.153	-14.6464
1.176	142.379	-14.5211
1.12	136.083	-14.3483
1.064	125.722	-12.8779
1.008	113.164	-13.9848
0.952	98.0765	-14.4581
0.896	91.7625	-17.1921
0.84	71.6693	-15.7763
0.784	67.0122	-16.5628
0.728	52.7796	-12.804
0.672	44.0934	-15.8629
0.616	33.7678	-9.76128
0.56	26.1456	-3.01994
0.504	14.285	0.628137
0.448	9.97684	15.8385
0.392	15.0699	85.8522
0.336	23.8781	112.176
0.28	38.7562	136.51
0.224	48.5412	137.357
0.168	66.2622	162.754
0.112	75.3495	165.146
0.0560001	88.7101	165.804
0	94.152	166.478
-0.0560001	110.268	166.421
-0.112	115.798	166.008
-0.168	128.478	166.247
-0.224	140.373	165.336
-0.28	154.554	164.228
-0.336	164.182	165.844
-0.392	174.874	166.02
-0.448	185.566	165.735
-0.504	198.891	165.888
-0.56	206.461	165.41
-0.616	217.572	165.423
-0.672	229.188	165.665
-0.728	244.903	167.02
-0.784	254.392	166.073
-0.84	268.293	165.593
-0.896	277.712	165.196
-0.952	290.357	166.286
-1.008	300.613	165.365
-1.064	312.038	165.934
-1.12	322.241	165.566
-1.176	328.573	165.716
-1.232	339.962	165.976
-1.288	356.236	165.32
-1.344	361.05	165.569
-1.4	376.66	165.228
-1.456	391.172	166.126
-1.512	404.027	165.404
-1.568	408.824	165.269
-1.624	420.51	165.621
-1.68	437.132	165.52
-1.736	448.469	165.441
-1.792	463.836	166.237
-1.848	471.65	165.647
-1.904	480.284	165.345
-1.96	494.255	165.879
-2.016	495.755	165.709
-2.016	467.586	165.12
-1.96	455.132	165.648
-1.904	439.016	165.126
-1.848	424.469	165.421
-1.792	416.533	165.18
-1.736	410.638	165.546
-1.68	397.87	165.292
-1.624	384.841	165.042
-1.568	374.951	164.843
-1.512	365.393	165.298
-1.456	349.747	164.938
-1.4	337.294	164.981
-1.344	327.788	165.085
-1.288	312.91	164.504
-1.232	304.241	165.619
-1.176	291.753	165.277
-1.12	281.41	164.428
-1.064	268.886	165.348
-1.008	257.933	164.987
-0.952	244.415	164.363
-0.896	233.496	165.736
-0.84	221.113	164.752
-0.784	210.926	164.08
-0.728	203.984	165.305
-0.672	185.409	164.787
-0.616	179.199	164.441
-0.56	164.688	165.623
-0.504	154.449	163.684
-0.448	143.304	163.744
-0.392	130.013	163.147
-0.336	113.495	162.846
-0.28	108.454	162.704
-0.224	93.3148	165.276
-0.168	83.495	161.709
-0.112	78.1926	162.57
-0.0560001	59.1982	161.777
0	52.6575	161.796
0.0560001	39.2446	154.577
