DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
Point1	Point1	Point1
0	500.504	149.078
0.016	602.136	150.778
0.0320001	658.308	151.547
0.0480001	613.89	149.846
0.0639999	672.072	152.597
0.0799999	690.233	153.079
0.096	739.163	151.46
0.112	771.221	152.417
0.128	818.994	153.913
0.144	847.734	152.998
0.16	859.81	152.509
0.176	980.552	155.275
0.192	1034.15	154.742
0.208	1088.54	153.578
0.224	1036	154.722
0.24	1115.27	155.578
0.256	1154.98	154.281
0.272	1156.22	154.037
0.288	1232.24	155.992
0.304	1394.19	156.427
0.32	1394.36	154.558
0.336	1357.49	155.966
0.352	1506.95	155.905
0.368	1507.52	154.133
0.384	1471.96	156.102
0.4	1627.35	157.15
0.416	1692.87	155.661
0.432	1672.25	155.718
0.448	1709.67	157.599
0.464	1816.02	156.078
0.48	1781.42	155.458
0.496	1788.55	156.792
0.512	1835.81	157.2
0.528	1985.83	154.975
0.544	2090.32	156.309
0.56	2149.62	158.611
0.576	2237.7	155.366
0.592	2110.02	155.469
0.608	2215.86	157.716
0.624	2329.42	157.751
0.64	2337.55	155.514
0.656	2291.42	156.099
0.672	2473.59	157.22
0.688	2643.66	156.268
0.704	2491.64	155.952
0.72	2627.58	157.656
0.736	2703.95	156.148
0.752	2636.32	156.436
0.768	2575.68	158.018
0.784	2609.54	157.585
0.8	2692.17	154.863
0.816	2619.49	155.845
0.832	2636.42	156.222
0.848	2783.72	155.654
0.864	2679.26	155.499
0.88	2855.19	157.42
0.896	2941.62	153.732
0.912	2732.93	148.835
0.928	2629.8	150.537
0.944	2865.64	152.887
0.96	2893.56	152.442
0.976	2672.32	151.627
0.992	2855.13	154.052
1.008	3118.21	153.619
1.024	3098.76	154.254
1.04	3106.44	155.629
1.056	3265.4	155.888
1.072	3133.23	153.21
1.088	3165.76	153.382
1.104	3236.87	154.655
1.12	3102.42	150.687
1.136	3127.77	153.3
1.152	3029.07	151.415
1.168	3072.26	150.742
1.184	3197.85	149.155
1.2	2909.83	153.337
1.216	3188.05	150.8
1.232	3268.75	151.418
1.248	3170.1	151.139
1.264	3224.64	152.82
1.28	3219.07	150.552
1.296	3343.22	151.708
1.312	3349.32	152.892
1.328	3408.36	151.457
1.344	3372.32	151.389
1.36	3459.73	151.116
1.376	3559.74	152.396
1.392	3385.93	151.644
1.408	3501.01	152.604
1.424	3552.89	151.709
1.44	3557.37	150.125
1.456	3541.95	148.799
1.472	3467.83	148.654
1.488	3743.46	149.105
1.504	3593.84	148.641
1.52	3661.03	148.822
1.536	3821.11	149.461
1.552	3761.79	146.529
1.568	3594.39	147.727
1.584	3762.02	148.542
1.6	3768.37	146.957
1.616	3615.4	147.378
1.632	3806.57	148.745
1.648	3839.76	149.223
1.664	3785.45	147.004
1.68	3725.71	148.933
1.696	3837.79	148.501
1.712	3779.42	146.12
1.728	3781.22	147.16
1.744	3778.47	148.572
1.76	3855.1	146.917
1.776	3798.4	147.089
1.792	3800.79	148.409
1.808	3893.26	147.847
1.824	3839.61	146.33
1.84	3912.37	149.167
1.856	4018.91	150.118
1.872	4047.92	147.646
1.888	3937.47	148.634
1.904	3990.32	149.856
1.92	4009.34	146.997
1.936	3898.78	146.975
1.952	4054.78	149.1
1.968	4187.77	148.852
1.984	4087.67	148.514
2	4163.54	149.521
1.984	4258.82	149.485
1.968	4203.3	147.902
1.952	4054.72	149.103
1.936	4095.16	150.915
1.92	4099.56	150.715
1.904	4022.48	149.776
1.888	4022.36	152.743
1.872	4074.35	152.247
1.856	4056.13	150.385
1.84	4052.05	152.625
1.824	4032.94	152.065
1.808	4094.21	150.72
1.792	3835.14	150.532
1.776	3922.78	152.309
1.76	3952.9	151.425
1.744	3872.43	149.751
1.728	3834.07	152.424
1.712	3927.37	151.676
1.696	3831.36	149.285
1.68	3838.61	150.384
1.664	3779.93	152.348
1.648	3942.17	150.071
1.632	3714.81	151.232
1.616	3777.96	152.327
1.6	3822.74	151.7
1.584	3710.32	151.59
1.568	3695.25	153.065
1.552	3727.97	153.438
1.536	3682.24	151.326
1.52	3666.32	151.905
1.504	3635.95	153.627
1.488	3750.34	153.254
1.472	3552.61	153.542
1.456	3666	153.514
1.44	3775.32	154.104
1.424	3500.82	154.061
1.408	3576.7	153.338
1.392	3756.23	153.254
1.376	3573.88	150.886
1.36	3352.74	152.965
1.344	3656.69	154.834
1.328	3521.5	151.559
1.312	3539.95	152.944
1.296	3444.49	157.947
1.28	3669.48	154.938
1.264	3678.32	151.623
1.248	3507.2	154.07
1.232	3533.04	157.06
1.216	3564.89	151.957
1.2	3500.38	154.358
1.184	3601.2	156.751
1.168	3569.88	153.767
1.152	3579.72	150.805
1.136	3386.61	155.618
1.12	3498.29	154.932
1.104	3332.02	155.282
1.088	3397.14	155.316
1.072	3234.46	154.499
1.056	3412.76	154.217
1.04	3274.48	153.142
1.024	3295.33	156.197
1.008	3251.43	152.894
0.992	3180.3	154.907
0.976	3200.64	156.534
0.96	3267.92	154.491
0.944	3110.32	153.404
0.928	3027.71	156.049
0.912	2983.46	155.786
0.896	2976.84	154.071
0.88	2837.6	155.772
0.864	2912.82	156.486
0.848	3010.08	155.206
0.832	2983.38	154.296
0.816	3007.48	155.819
0.8	2968.08	156.125
0.784	2885.81	154.069
0.768	2865.43	155.991
0.752	2840.27	156.477
0.736	2751.62	156.199
0.72	2733.08	155.821
0.704	2597.19	157.422
0.688	2664.78	154.554
0.672	2601.06	155.943
0.656	2750.49	155.638
0.64	2687.13	153.825
0.624	2527.68	154.14
0.608	2585.14	156.158
0.592	2657.86	156.138
0.576	2587.77	155.793
0.56	2534.37	155.106
0.544	2475.01	156.995
0.528	2561.9	154.445
0.512	2476.17	155.141
0.496	2337.07	156.567
0.48	2374.59	156.78
0.464	2285.93	156.058
0.448	2285	157.442
0.432	2387.29	155.812
0.416	2251.23	154.103
0.4	2186.02	157.167
0.384	2211.37	157.698
0.368	2260.37	154.345
0.352	2181.72	155.717
0.336	2065.75	156.096
0.32	2057.58	155.247
0.304	1929.22	155.719
0.288	1877.5	156.562
0.272	1906.47	155.497
0.256	1935.11	154.028
0.24	1971.02	154.915
0.224	1887.09	156.678
0.208	1983.65	154.561
0.192	1869.61	155.737
0.176	1702.29	156.47
0.16	1776.1	155.367
0.144	1760.17	154.517
0.128	1657.7	155.535
0.112	1575.3	156.237
0.096	1768.66	155.594
0.0799999	1557.04	155.674
0.0639999	1554.76	156.387
0.0480001	1600.47	155.464
0.0320001	1528.13	154.05
0.016	1474.88	156.473
0	1504.01	155.711
-0.016	1463.58	154.305
-0.0319999	1316.07	155.332
-0.048	1370.1	156.332
-0.064	1292.16	154.344
-0.08	1211.91	153.57
-0.096	1175.25	155.847
-0.112	1144.99	154.35
-0.128	1051.7	153.864
-0.144	1034.16	154.888
-0.16	1110.94	154.304
-0.176	1127.76	154.482
-0.192	1096.74	154.868
-0.208	1153.28	155.737
-0.224	1099.36	154.437
-0.24	1063.23	154.025
-0.256	1030.37	155.205
-0.272	956.154	153.935
-0.288	885.346	151.872
-0.304	909.195	153.889
-0.32	902.769	153.723
-0.336	824.265	151.979
-0.352	843.128	152.342
-0.368	892.892	153.589
-0.384	938.845	152.146
-0.4	734.101	150.682
-0.416	762.216	153.153
-0.432	784.889	152.287
-0.448	672.11	151.13
-0.464	581.662	151.682
-0.48	591.52	150.582
-0.496	507.765	148.559
-0.512	446.285	148.754
-0.528	467.688	150.967
-0.544	382.037	148.717
-0.56	442.607	146.458
-0.576	503.727	150.488
-0.592	542.173	148.906
-0.608	460.977	147.321
-0.624	476.371	150.053
-0.64	458.854	149.86
-0.656	533.415	148.269
-0.672	385.317	146.701
-0.688	479.499	149.899
-0.704	462.854	145.899
-0.72	387.952	145.637
-0.736	425.659	146.896
-0.752	445.735	149.449
-0.768	386.321	146.199
-0.784	507.689	149.463
-0.8	348.861	146.714
-0.816	337.998	143.421
-0.832	359.761	144.358
-0.848	326.225	146.97
-0.864	263.172	147.831
-0.88	332.917	142.445
-0.896	258.83	141.415
-0.912	197.673	143.98
-0.928	290.13	142.351
-0.944	194.564	141.906
-0.96	212.896	140.285
-0.976	127.889	129.433
-0.992	61.2336	91.5525
-1.008	41.9346	49.1607
-1.024	43.1479	46.9854
-1.04	45.4038	0.504631
-1.056	45.9157	-1.28079
-1.072	111.813	-13.3384
-1.088	163.359	-19.6912
-1.104	132.647	-18.4208
-1.12	312.974	-21.1159
-1.136	182.829	-21.6375
-1.152	306.604	-20.5868
-1.168	333.789	-20.5206
-1.184	439.517	-22.4246
-1.2	426.91	-21.8885
-1.216	564.43	-19.2938
-1.232	1449.11	-11.4862
-1.248	1689.4	-14.8727
-1.264	2476.05	-7.15325
-1.28	1983.17	-8.035
-1.296	1769.75	-16.8269
-1.312	1789.75	-15.8338
-1.328	1784.46	-13.3955
-1.344	1741.78	-13.5511
-1.36	1757.76	-16.7667
-1.376	1786.71	-15.4463
-1.392	1728.83	-11.8936
-1.408	1861.6	-15.782
-1.424	1798.03	-18.2781
-1.44	1770.71	-17.0067
-1.456	1864.88	-17.5604
-1.472	1816.59	-17.0925
-1.488	1800.84	-16.1136
-1.504	1742.48	-14.2614
-1.52	1740.91	-15.5109
-1.536	1749.95	-10.7916
-1.552	1759.81	-10.7057
-1.568	1760.19	-14.3549
-1.584	1854.54	-19.7623
-1.6	1701.08	-16.9325
-1.616	1648.95	-13.5755
-1.632	1831.53	-16.3999
-1.648	1734.65	-16.3127
-1.664	1669.99	-12.773
-1.68	1746.48	-15.2701
-1.696	1654.65	-17.3801
-1.712	1652.62	-10.5681
-1.728	1726.62	-12.195
-1.744	1646.2	-5.2453
-1.76	1660.93	-8.41135
-1.776	1644.76	-10.1452
-1.792	1771.32	-10.1854
-1.808	1640.32	-10.2952
-1.824	1610.27	-11.1219
-1.84	1753.67	-13.2249
-1.856	1775.2	-15.922
-1.872	1786.73	-18.2026
-1.888	1766.96	-14.2085
-1.904	1833.71	-15.3757
-1.92	1742.98	-16.5024
-1.936	1752.99	-12.5547
-1.952	1842.94	-17.4267
-1.968	1875.91	-21.1247
-1.984	1768.44	-16.3256
-2	1899.26	-17.5058
-1.984	1807.53	-19.1981
-1.968	1774.64	-15.6055
-1.952	1822.14	-17.3249
-1.936	1800.74	-19.102
-1.92	1638.42	-13.8153
-1.904	1681.16	-12.619
-1.888	1727.66	-13.8427
-1.872	1556.79	-13.163
-1.856	1510.52	-10.1408
-1.84	1590.67	-13.899
-1.824	1534.59	-14.3776
-1.808	1563.43	-14.1915
-1.792	1552.81	-14.0927
-1.776	1497.74	-11.6998
-1.76	1477.26	-11.9259
-1.744	1567.71	-12.2508
-1.728	1583.94	-14.9988
-1.712	1508.45	-14.5351
-1.696	1468.71	-15.2427
-1.68	1461.78	-12.9753
-1.664	1522.9	-17.1805
-1.648	1438.02	-15.7357
-1.632	1403.65	-14.231
-1.616	1446.57	-13.7967
-1.6	1427.46	-13.5019
-1.584	1337.43	-6.14908
-1.568	1355.9	-8.14126
-1.552	1336.43	-5.53617
-1.536	1328.18	-6.78398
-1.52	1318.32	-9.10881
-1.504	1323.31	-8.69998
-1.488	1237.35	-6.60567
-1.472	1271.1	-8.85325
-1.456	1291.82	-12.7198
-1.44	1248.77	-7.67276
-1.424	1209.2	-4.45627
-1.408	1221.49	-6.46123
-1.392	1213.33	-5.97886
-1.376	1115.25	-3.83082
-1.36	1181.41	-4.42251
-1.344	1169.75	-7.38213
-1.328	1189.07	-2.36108
-1.312	1179.34	-6.92721
-1.296	1245.89	-8.16293
-1.28	1192.22	-11.5447
-1.264	1176.52	-4.80925
-1.248	1242.34	-11.1418
-1.232	1077.48	-8.46986
-1.216	1075.13	-5.67219
-1.2	1110.3	-8.45738
-1.184	1122.87	-4.07982
-1.168	1112.99	-1.80485
-1.152	1129.45	-2.70935
-1.136	1097.01	-7.78054
-1.12	1071.8	-6.97011
-1.104	1112.38	-5.90169
-1.088	1117.6	-6.55315
-1.072	1046.85	-3.62223
-1.056	1042.49	0.475541
-1.04	1001.58	-2.59324
-1.024	966.012	-3.2933
-1.008	984.022	-3.56136
-0.992	1018.09	-1.00871
-0.976	1088.16	-5.24504
-0.96	1000.74	-0.153841
-0.944	1015.81	-3.89149
-0.928	998.467	-6.52252
-0.912	1029.62	-7.78519
