2theta	Theorical_peaks	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity
deg	a.u.	deg	a.u.	deg	a.u.	deg	a.u.	deg	a.u.	deg	a.u.
2H-WSe2	2H-WSe2	x=0%, d =4%	x=0%, d =4%	x=1.0%, d =1%	x=1.0%, d =1%	x=1.4%, d =9% 	x=1.4%, d =9% 	x=7.6%, d =38%	x=7.6%, d =38%	x=15%, d =21%	x=15%, d =21%
13.62	1	11.01315	0.0149099628107261	11.01315	1.11658173582464	11.01315	2.01605877953276	11.01315	3.0333739713502	10	4.13402906448683
27.44	1	11.03945	0.0124339401056958	11.03945	1.11706705492194	11.03945	2.01548682300145	11.03945	3.03070710149345	10.02	4.13166757493188
31.39	1	11.06575	0.0126492464278724	11.06575	1.11654129256653	11.06575	2.01808262572045	11.06575	3.03177384943615	10.04	4.12930608537693
32.15	1	11.09205	0.0136988647484831	11.09205	1.11900833131117	11.09205	2.0164987460953	11.09205	3.03009753124048	10.06	4.1307229791099
34.36	1	11.11835	0.0141294773928362	11.11835	1.1177950335679	11.11835	2.01759866250165	11.11835	3.0355074672356	10.08	4.13025068119891
37.78	1	11.14465	0.0131875122333137	11.14465	1.11674350885707	11.14465	2.01698270931409	11.14465	3.03520268210911	10.1	4.1307229791099
41.68	1	11.17095	0.0151252691329028	11.17095	1.1164199627922	11.17095	2.01720269259536	11.17095	3.0301737275221	10.12	4.13261217075386
42.17	1	11.19725	0.0137526913290272	11.19725	1.11601553021111	11.19725	2.01746667253289	11.19725	3.03268820481561	10.14	4.13119527702089
47.32	1	11.22355	0.0122724603640634	11.22355	1.11577287066246	11.22355	2.01865458225175	11.22355	3.03200243828101	10.16	4.1307229791099
53.1	1	11.24985	0.0134835584263066	11.24985	1.11694572514762	11.24985	2.01733468256413	11.24985	3.0333739713502	10.18	4.13166757493188
55.88	1	11.27615	0.0142371305539245	11.27615	1.11654129256653	11.27615	2.01531083637644	11.27615	3.03177384943615	10.2	4.13119527702089
56.64	1	11.30245	0.0133489919749461	11.30245	1.11621774650166	11.30245	2.01583879625148	11.30245	3.03024992380372	10.22	4.13119527702089
57.8	1	11.32875	0.0129722059111372	11.32875	1.1150448920165	11.32875	2.01469488318888	11.32875	3.03116427918318	10.24	4.13213987284287
59.4	1	11.35505	0.0137526913290272	11.35505	1.11621774650166	11.35505	2.01566280962647	11.35505	3.03428832672966	10.26	4.13025068119891
