H	M	M over mass
Oe	emu	emu/g
x=0%, d =4%	x=0%, d =4%	x=0%, d =4%
184.66199	-4.9429869E-5	-0.00441338116071429
572.01368	2.6095996E-5	0.00232999964285714
959.28489	3.3181431E-5	0.00296262776785714
1346.5236	2.601125E-5	0.00232243303571429
1733.6147	3.0133326E-6	2.69047553571429E-4
2120.7639	-9.6757345E-6	-8.63904866071428E-4
2507.7941	-2.1711797E-5	-0.00193855330357143
2894.8398	-3.5593269E-5	-0.00317797044642857
3281.8557	-4.9877568E-5	-0.00445335428571429
3668.8509	-6.9986835E-5	-0.00624882455357143
4055.8898	-8.8898064E-5	-0.00793732714285714
4442.871	-1.1866139E-4	-0.0105947669642857
4829.8081	-1.2501973E-4	-0.0111624758928571
5216.7905	-1.270597E-4	-0.0113446160714286
5603.726	-1.5711456E-4	-0.0140280857142857
5990.7117	-1.6952873E-4	-0.01513649375
6377.6758	-1.9310597E-4	-0.0172416044642857
6764.6243	-2.0167702E-4	-0.0180068767857143
7151.5883	-2.1838636E-4	-0.0194987821428571
7538.5605	-2.4540156E-4	-0.0219108535714286
7925.5092	-2.5995335E-4	-0.0232101205357143
8312.4179	-2.7710776E-4	-0.0247417642857143
8699.2355	-2.9306694E-4	-0.0261666910714286
9086.0353	-3.1868625E-4	-0.0284541294642857
9472.8516	-3.4540627E-4	-0.0308398455357143
9859.6415	-3.5519044E-4	-0.0317134321428571
10246.399	-3.6758348E-4	-0.0328199535714286
10633.099	-3.791889E-4	-0.0338561517857143
11019.71	-4.0244877E-4	-0.0359329258928571
11406.309	-4.3023309E-4	-0.03841366875
11792.863	-4.441101E-4	-0.0396526875
11822.929	-4.4868084E-4	-0.0400607892857143
11416.339	-4.4142295E-4	-0.0394127633928571
11008.903	-4.1306045E-4	-0.0368803973214286
10601.663	-4.0394019E-4	-0.0360660883928571
10194.617	-3.6227805E-4	-0.0323462544642857
9787.6105	-3.583481E-4	-0.0319953660714286
9380.7401	-3.3963205E-4	-0.0303242901785714
8973.9204	-3.2713695E-4	-0.02920865625
8567.1664	-2.8926341E-4	-0.0258270901785714
8160.4473	-2.7565247E-4	-0.0246118276785714
7753.7195	-2.7005387E-4	-0.0241119526785714
7347.03	-2.5056674E-4	-0.0223720303571429
6940.3325	-2.1971177E-4	-0.0196171223214286
