H	M	M over mass
Oe	emu	emu/g
x=1.0%, d =1%	x=1.0%, d =1%	x=1.0%, d =1%
9844.1769	-7.2061946E-4	-0.0610694457627119
9515.8767	-6.8428591E-4	-0.0579903313559322
9187.6826	-6.6298637E-4	-0.0561852855932203
8859.6358	-6.2680197E-4	-0.0531188110169492
8531.6988	-6.00247E-4	-0.0508683898305085
8203.8262	-5.7109027E-4	-0.0483974805084746
7875.9932	-5.397206E-4	-0.0457390338983051
7548.185	-5.2014368E-4	-0.0440799728813559
7220.3636	-4.9820047E-4	-0.0422203788135593
6892.6132	-4.6526146E-4	-0.0394289372881356
6564.8144	-4.4741185E-4	-0.0379162584745763
6237.0626	-4.0914274E-4	-0.034673113559322
5909.2497	-3.7801123E-4	-0.03203485
5579.7446	-3.5487895E-4	-0.0300744872881356
5250.4608	-3.2895779E-4	-0.0278777788135593
4922.6836	-2.920871E-4	-0.0247531440677966
4594.9055	-2.783586E-4	-0.0235897118644068
4267.1621	-2.3656168E-4	-0.0200476
3939.3264	-2.171052E-4	-0.0183987457627119
3611.4906	-1.8052065E-4	-0.0152983601694915
3283.6129	-1.6348696E-4	-0.0138548271186441
2955.7535	-1.1530602E-4	-0.00977169661016949
2627.9058	-9.7133784E-5	-0.00823167661016949
2300.0291	-7.1470122E-5	-0.00605679
1972.2006	-3.4320611E-5	-0.0029085263559322
1644.3405	-1.5497769E-6	-1.31337025423729E-4
1316.4909	1.5185435E-5	0.00128690127118644
992.16857	4.4735577E-5	0.00395890061946903
987.17611	4.3913592E-5	0.0038861585840708
982.19429	4.6710824E-5	0.00413370123893805
977.21968	4.9329019E-5	0.00436539991150443
972.21018	4.4076968E-5	0.00390061663716814
967.18407	4.7136727E-5	0.00417139176991151
962.16486	4.8040876E-5	0.00425140495575221
957.1976	4.349127E-5	0.00384878495575221
952.20941	4.6476588E-5	0.00411297238938053
947.23917	4.7267399E-5	0.00418295566371681
942.25967	4.7314812E-5	0.00418715150442478
937.2725	4.7023598E-5	0.0041613803539823
932.28488	4.483412E-5	0.00396762123893805
927.30934	4.6200029E-5	0.00408849814159292
922.33004	4.3805859E-5	0.00387662469026549
917.35343	4.907121E-5	0.00434258495575221
912.36719	4.7085536E-5	0.00416686159292036
907.38811	4.7770935E-5	0.00422751637168142
902.40804	5.1648081E-5	0.00457062663716814
897.41866	4.5630958E-5	0.0040381378761062
892.44411	4.7636325E-5	0.00421560398230089
887.45421	5.0542757E-5	0.0044728103539823
882.47723	5.3148306E-5	0.00470338991150443
877.49851	5.1773435E-5	0.00458171991150442
872.51756	4.7484083E-5	0.00420213123893805
867.53918	4.9929174E-5	0.00441851097345133
862.55495	4.9648174E-5	0.00439364371681416
857.55996	4.86629E-5	0.00430645132743363
852.54235	5.0020298E-5	0.00442657504424779
847.57169	4.8833697E-5	0.00432156610619469
842.5939	5.2359073E-5	0.00463354628318584
837.60055	4.9934268E-5	0.00441896176991151
832.62974	4.6965617E-5	0.0041562492920354
827.64423	5.1411415E-5	0.00454968274336283
822.66714	4.9630579E-5	0.00439208663716814
817.68061	4.6986051E-5	0.00415805761061947
812.6943	5.0941502E-5	0.00450809752212389
807.71949	5.1511135E-5	0.00455850752212389
802.74962	5.1096345E-5	0.00452180044247788
797.76229	4.7860248E-5	0.00423542017699115
792.75029	5.0460482E-5	0.00446552938053097
787.74989	5.2041698E-5	0.00460546
782.7702	5.2459182E-5	0.00464240548672566
777.7896	4.9738592E-5	0.00440164530973451
772.81911	5.3941905E-5	0.00477361991150443
767.83206	5.1700043E-5	0.00457522504424779
762.84956	5.0691535E-5	0.00448597654867257
757.85753	4.7945219E-5	0.00424293973451328
752.8842	5.2034804E-5	0.00460484991150443
747.90106	5.1190581E-5	0.00453013991150443
742.93	5.3705867E-5	0.00475273159292035
737.94125	4.9175473E-5	0.0043518117699115
732.96197	5.2045623E-5	0.00460580734513274
727.98503	4.976177E-5	0.00440369646017699
723.00699	4.6112717E-5	0.0040807714159292
718.01875	5.1247024E-5	0.00453513486725664
713.0442	4.661592E-5	0.00412530265486726
708.05766	5.0358881E-5	0.00445653814159292
703.07919	4.9823839E-5	0.0044091892920354
698.10069	5.2903305E-5	0.00468170840707965
693.12356	4.9016161E-5	0.00433771336283186
688.14139	5.0671105E-5	0.0044841685840708
683.14734	5.2039959E-5	0.00460530610619469
678.18271	5.5271777E-5	0.00489130769911504
673.20148	5.7159355E-5	0.00505835
668.21982	5.2307548E-5	0.00462898654867257
663.22778	5.0124278E-5	0.00443577681415929
658.2594	5.3344182E-5	0.00472072407079646
653.27924	5.2038747E-5	0.00460519884955752
648.28632	5.0665302E-5	0.00448365504424779
643.31464	5.1791694E-5	0.00458333575221239
638.33511	5.1445487E-5	0.00455269796460177
633.35767	4.9840984E-5	0.00441070654867257
628.36706	5.0267258E-5	0.00444842991150443
623.39818	5.1987495E-5	0.00460066327433628
618.40704	4.965286E-5	0.00439405840707965
613.41423	4.7100867E-5	0.00416821831858407
608.40278	5.246241E-5	0.00464269115044248
603.41866	5.1906954E-5	0.00459353575221239
599.20312	5.0772033E-5	0.00449310026548673
595.48084	4.9667675E-5	0.00439536946902655
591.74263	5.2230245E-5	0.00462214557522124
588.01161	5.3392362E-5	0.00472498778761062
584.2405	5.0126417E-5	0.00443596610619469
580.48931	4.9581205E-5	0.00438771725663717
576.76839	5.3249872E-5	0.00471237805309734
573.03047	5.3772825E-5	0.00475865707964602
569.30053	5.2046357E-5	0.00460587230088496
565.5671	5.1848175E-5	0.00458833407079646
561.82182	4.7843603E-5	0.00423394716814159
558.08932	5.388718E-5	0.00476877699115044
554.3492	5.2562189E-5	0.00465152115044248
550.60979	5.0572422E-5	0.00447543557522124
546.87893	5.3024472E-5	0.00469243115044248
543.14662	5.3570096E-5	0.00474071646017699
539.41391	5.3656182E-5	0.00474833469026549
535.67188	5.1363964E-5	0.00454548353982301
531.93681	5.4116515E-5	0.00478907212389381
528.20325	5.0418494E-5	0.00446181362831858
524.46386	5.1154936E-5	0.00452698548672566
520.73155	5.0204195E-5	0.00444284911504425
516.99107	5.1032162E-5	0.00451612053097345
513.26247	5.4789661E-5	0.00484864256637168
509.52082	5.1542525E-5	0.00456128539823009
505.77643	5.3920524E-5	0.00477172778761062
502.02554	5.1687826E-5	0.00457414389380531
498.27688	5.2648729E-5	0.00465917955752212
494.53151	5.4135387E-5	0.00479074221238938
490.7776	5.0678643E-5	0.00448483566371681
487.03706	4.7657105E-5	0.00421744292035398
483.287	5.2949757E-5	0.00468581920353982
479.54559	4.7037123E-5	0.00416257725663717
475.80365	5.0588636E-5	0.00447687044247788
472.04922	4.99612E-5	0.00442134513274336
468.30323	5.4059902E-5	0.00478406212389381
464.55204	5.2080137E-5	0.00460886168141593
460.79653	5.1743752E-5	0.00457909309734513
457.04729	5.1568021E-5	0.00456354168141593
453.30613	4.8602063E-5	0.00430106752212389
449.55443	5.2245676E-5	0.00462351115044248
445.81461	5.564749E-5	0.00492455663716814
442.06805	5.1028914E-5	0.00451583309734513
438.31902	5.3001825E-5	0.00469042699115044
434.56229	5.0481096E-5	0.00446735362831859
430.82103	4.9396493E-5	0.0043713710619469
427.06969	4.9958875E-5	0.00442113938053097
423.32791	4.9688141E-5	0.00439718061946903
419.58876	4.9836399E-5	0.00441030079646018
415.80088	5.0489478E-5	0.00446809539823009
412.04258	5.1267678E-5	0.00453696265486726
408.28959	4.9017809E-5	0.00433785920353982
404.55456	5.4652069E-5	0.00483646628318584
400.80471	5.624398E-5	0.00497734336283186
397.05408	5.1852415E-5	0.0045887092920354
393.30531	5.0063548E-5	0.00443040247787611
389.55854	5.0416878E-5	0.00446167061946903
385.81754	5.2902446E-5	0.00468163238938053
382.07042	4.8560482E-5	0.00429738778761062
378.31305	4.8921646E-5	0.00432934920353982
374.57175	4.8923279E-5	0.00432949371681416
370.81147	5.2483685E-5	0.00464457389380531
367.07049	5.0709276E-5	0.00448754654867257
363.33313	5.0713358E-5	0.00448790778761062
359.57939	4.8643977E-5	0.00430477672566372
355.83022	4.8764403E-5	0.00431543389380531
352.08261	4.6074588E-5	0.00407739716814159
348.33221	4.7873784E-5	0.00423661805309735
344.59552	4.8257529E-5	0.00427057778761062
340.84332	4.9507456E-5	0.00438119079646018
