H	M	M over mass
Oe	emu	emu/g
x=15%, d =21%	x=15%, d =21%	x=15%, d =21%
11518.335	-3.4519424E-4	-0.0285284495867769
11488.574	-3.5229255E-4	-0.0291150867768595
10440.732	-3.0202616E-4	-0.0249608396694215
9395.1758	-2.5864227E-4	-0.021375394214876
8350.852	-2.1729905E-4	-0.0179585991735537
7306.7987	-1.7782618E-4	-0.0146963785123967
6262.8833	-1.4179318E-4	-0.0117184446280992
5219.0979	-1.2140351E-4	-0.0100333479338843
4175.1821	-5.8130104E-5	-0.00480414082644628
3131.3449	-2.9784065E-5	-0.00246149297520661
2087.5911	-8.5484374E-6	-7.06482429752066E-4
1043.9373	7.721904E-6	6.38173884297521E-4
0.3950976	4.462165E-5	0.00368773966942149
-1043.0811	-8.2102155E-6	-6.7853020661157E-4
-2086.58	1.7420133E-5	0.00143968041322314
-3129.9401	5.497136E-5	0.00454308760330579
-4173.3293	7.8010255E-5	0.00644712851239669
-5216.6882	1.0538123E-4	0.00870919256198347
-6259.9255	1.3953048E-4	0.0115314446280992
-7303.153	1.7866566E-4	0.0147657570247934
-8346.1991	2.119385E-4	0.0175155785123967
-9388.9485	2.4479252E-4	0.0202307867768595
-10431.05	2.8437308E-4	0.0235019074380165
-11472.486	3.1986969E-4	0.0264355115702479
-11551.861	3.5551863E-4	0.0293817049586777
-10549.128	3.0981381E-4	0.025604447107438
-9546.8801	2.6084325E-4	0.0215572933884298
-8545.9212	2.1043677E-4	0.0173914685950413
-7545.3296	1.7024698E-4	0.0140699983471074
-6545.0913	1.5736883E-4	0.0130056884297521
-5541.7394	1.1138759E-4	0.00920558595041322
-4534.4823	8.5286851E-5	0.00704850008264463
-3534.1021	5.0779772E-5	0.00419667537190083
-2533.8611	7.5424699E-6	6.23344619834711E-4
-1533.6378	-2.8662929E-5	-0.00236883710743802
-533.47778	-3.7685442E-5	-0.00311449933884298
466.50526	4.5744822E-5	0.00378056380165289
1466.5751	3.9187493E-6	3.23863578512397E-4
2466.5514	-4.4630705E-5	-0.00368848801652893
3466.411	-4.0298538E-5	-0.00333045768595041
4466.3669	-7.0942028E-5	-0.00586297752066116
5466.1778	-1.4487504E-4	-0.0119731438016529
6466.0088	-1.5812871E-4	-0.0130684884297521
7465.8548	-1.7658035E-4	-0.0145934173553719
8465.3783	-2.2841334E-4	-0.0188771355371901
9464.6284	-2.5830232E-4	-0.0213472991735537
10463.251	-3.0097073E-4	-0.0248736140495868
11461.254	-3.3474762E-4	-0.0276650925619835
