H	M	M_over_mass	M_over_mass_smoothed
Oe	emu	emu/g	emu/g
x=0%, d =12% - after 2 days in soft vacuum	x=0%, d =12% - after 2 days in soft vacuum	x=0%, d =12% - after 2 days in soft vacuum	x=0%, d =12% - after 2 days in soft vacuum
1976.0225	1.1700945E-6	1.82879406491379E-4	2.20888114472594E-4
1925.3509	1.6747923E-6	2.30945863634236E-4	2.27388865493002E-4
1874.6946	1.379812E-6	2.02852501729474E-4	2.30036232159669E-4
1824.0418	1.6213161E-6	2.25852892205664E-4	2.28830214472594E-4
1773.3999	1.0475042E-6	1.71204139824712E-4	2.08912004948785E-4
1722.7656	1.2703602E-6	1.92428520777093E-4	2.16738779551959E-4
1672.1226	1.2434796E-6	1.89868463634236E-4	2.17397853928376E-4
1621.0732	1.8367117E-6	2.46366758872331E-4	2.45182939642662E-4
1570.3205	1.4988129E-6	2.14185920777093E-4	2.64885927397764E-4
1519.7023	2.171262E-6	2.78228692205664E-4	2.76629141456721E-4
1469.0489	2.0067E-6	2.62556120777093E-4	2.85198263905701E-4
1418.4222	1.9388235E-6	2.56091692205664E-4	3.01282153701619E-4
1367.7887	2.3052376E-6	2.90988273158045E-4	2.89788542363751E-4
1316.6503	2.0477835E-6	2.66468835062807E-4	2.77656272975995E-4
1266.0025	1.6029145E-6	2.24100358872331E-4	2.65077776377356E-4
1215.369	1.5899471E-6	2.22865368396141E-4	2.55203363678943E-4
1164.7293	1.8343719E-6	2.46143920777093E-4	2.55229435334272E-4
1114.0916	1.83698E-6	2.46392311253283E-4	2.51071344631324E-4
1063.4572	1.5302324E-6	2.17178254110426E-4	2.50627804041755E-4
1012.8165	1.4817961E-6	2.12565273158045E-4	2.60927497012277E-4
962.17973	2.115149E-6	2.72884596967569E-4	2.74157706536086E-4
911.19127	2.2825821E-6	2.88830606491379E-4	2.93579054835406E-4
860.40182	1.9679668E-6	2.58867244586617E-4	2.96525224903433E-4
809.76608	2.1484093E-6	2.76052244586617E-4	3.0053706571976E-4
759.12787	2.0541912E-6	2.67079092205664E-4	2.97512689302526E-4
708.49758	2.5289877E-6	3.12297806491379E-4	2.96604016286653E-4
657.85972	1.8217223E-6	2.44939196967569E-4	3.06559377284385E-4
606.89441	2.0908593E-6	2.70571292205664E-4	2.98460776830871E-4
556.07962	2.4373623E-6	3.0357157791995E-4	2.65406331932912E-4
505.44674	1.2941402E-6	1.94693282681855E-4	2.53282334200485E-4
454.80491	1.1382829E-6	1.79849730300902E-4	2.2748758726171E-4
404.18005	1.6035601E-6	2.24161844586617E-4	2.07422188622254E-4
353.54268	1.3197773E-6	1.97134911253283E-4	2.4076147433654E-4
302.89528	1.4092562E-6	2.05656711253283E-4	2.46577126808195E-4
252.27197	2.0038985E-6	2.62289311253283E-4	2.21143257873955E-4
201.63228	8.0067035E-7	1.47696154110426E-4	1.91120980413637E-4
150.99312	4.5418019E-7	1.14697091253283E-4	1.78400192386426E-4
100.35533	5.875779E-7	1.27401635062807E-4	1.34357662499805E-4
49.734224	1.0487896E-6	1.71326558872331E-4	1.47009487125655E-4
-1.3259409	-4.766483E-7	2.6046758872331E-5	1.24273263089374E-4
-52.057518	5.0245585E-7	1.19294773158045E-4	5.93805770576281E-5
-102.69089	-1.3021383E-6	-5.25713363657642E-5	-1.28765491516102E-6
-153.33915	-1.9738592E-6	-1.16544755413383E-4	-6.76854456181089E-5
-203.97275	-1.8318337E-6	-1.03018517318145E-4	-1.29328035414027E-4
-254.60481	-3.0734212E-6	-2.21264945889574E-4	-1.36920230425365E-4
-305.24212	-1.960081E-6	-1.15232545889574E-4	-1.23570294824458E-4
-355.88816	-2.4228065E-6	-1.59301641127669E-4	-1.32868462624912E-4
-406.50239	-2.0623016E-6	-1.24967841127669E-4	-1.43640923849401E-4
-457.14622	-3.3248638E-6	-2.45211860175288E-4	-1.91609168293846E-4
-507.78658	-3.3959948E-6	-2.51986241127669E-4	-2.10764040856204E-4
-558.41502	-3.3175256E-6	-2.44512983984812E-4	-2.4682699641176E-4
-609.0446	-3.2695973E-6	-2.39948383984812E-4	-2.2265956965439E-4
-659.68203	-3.8836348E-6	-2.98428145889574E-4	-2.38478159677066E-4
-710.32705	-2.8780643E-6	-2.02659526841955E-4	-2.49966050380014E-4
-760.96219	-4.3172575E-6	-3.39725545889574E-4	-2.65061880311986E-4
-811.59029	-3.5318478E-6	-2.6492462208005E-4	-2.4555287396278E-4
-862.22544	-3.7339654E-6	-2.84173917318145E-4	-2.57287977364141E-4
-912.85837	-3.0060467E-6	-2.14848326841955E-4	-2.39544530652122E-4
-963.4938	-4.1176418E-6	-3.20714526841955E-4	-2.64178449472984E-4
-1014.1341	-3.823026E-6	-2.92655879222907E-4	-2.75328714779107E-4
-1064.774	-4.1134322E-6	-3.2031361255624E-4	-2.89013206842599E-4
-1115.3989	-3.7447174E-6	-2.85197917318145E-4	-2.7584000502854E-4
-1166.0196	-3.8431814E-6	-2.94575441127669E-4	-2.59051075776839E-4
-1216.668	-3.9039034E-6	-3.00358488746717E-4	-2.9928042135507E-4
-1267.2998	-3.7699219E-6	-2.87598345889574E-4	-3.16509886661193E-4
-1317.9285	-5.5707998E-6	-4.59110526841955E-4	-3.02285860357338E-4
-1368.5821	-3.0993274E-6	-2.23732203032431E-4	-2.72010918407225E-4
-1419.2163	-3.1248455E-6	-2.26162498270526E-4	-2.19826946071624E-4
-1470.2761	-3.2106515E-6	-2.34334498270526E-4	-2.05019834960512E-4
-1520.9792	-3.2445132E-6	-2.3755942208005E-4	-2.5801776013058E-4
-1571.62	-4.8162012E-6	-3.87243993508621E-4	-2.69593977364141E-4
-1622.2544	-3.7765911E-6	-2.88233507794336E-4	-3.20312422715614E-4
-1672.8761	-3.9749022E-6	-3.07120279222907E-4	-3.43567510243959E-4
-1723.5226	-5.5829446E-6	-4.60267174461002E-4	-3.14354366479787E-4
-1774.1639	-4.0396481E-6	-3.13286555413383E-4	-3.51967911150989E-4
-1824.8034	-3.883886E-6	-2.98452069699097E-4	-3.47920825436703E-4
-1875.4424	-5.333081E-6	-4.36470641127669E-4	-2.92000119767769E-4
-1926.0663	-3.6523601E-6	-2.76401983984812E-4	-2.83204239042145E-4
-1976.6752	-2.9637506E-6	-2.10820126841955E-4	-2.57039709790444E-4
-1977.479	-3.7358405E-6	-2.84352498270526E-4	-2.17318428157791E-4
-1927.4965	-3.5726079E-6	-2.68806536365764E-4	-2.36553112965048E-4
-1877.4772	-3.4059267E-6	-2.52932136365764E-4	-2.5397731795371E-4
-1827.4681	-3.7116882E-6	-2.82052279222907E-4	-2.55777179631714E-4
-1777.4632	-3.9424251E-6	-3.0402722208005E-4	-2.81882690289311E-4
-1727.4489	-4.0584587E-6	-3.15078041127669E-4	-2.92555285300649E-4
-1677.4462	-4.2794679E-6	-3.36126536365764E-4	-2.9232032566346E-4
-1627.4348	-3.7190244E-6	-2.82750964937193E-4	-2.88378503894753E-4
-1577.4318	-4.0883849E-6	-3.17928155413383E-4	-2.8728257827117E-4
-1527.4435	-4.1489763E-6	-3.23698764937193E-4	-3.16787729745093E-4
-1477.4286	-4.4273196E-6	-3.50207650651478E-4	-3.27154315232621E-4
-1427.4357	-4.974346E-6	-4.02305403032431E-4	-3.24347578724685E-4
-1377.425	-3.6354495E-6	-2.74791450651479E-4	-3.23973066706544E-4
-1327.4212	-4.3957279E-6	-3.47198917318145E-4	-3.02035018180467E-4
-1277.407	-4.3000476E-6	-3.38086507794336E-4	-2.89529592783642E-4
-1227.4144	-3.7905173E-6	-2.8955981255624E-4	-3.12713733373211E-4
-1177.4188	-4.344332E-6	-3.42304069699097E-4	-3.08153623169129E-4
-1127.4116	-4.4157693E-6	-3.4910762208005E-4	-3.04516753781374E-4
-1077.4128	-4.037235E-6	-3.13056736365764E-4	-2.96990503894753E-4
-1027.4051	-3.6924593E-6	-2.80220955413383E-4	-2.65909294824458E-4
-977.39936	-3.6835172E-6	-2.79369326841955E-4	-2.62767345164594E-4
-927.40688	-3.6952402E-6	-2.80485803032431E-4	-2.70058498906091E-4
-877.39757	-4.3237251E-6	-3.40341507794336E-4	-2.92002716593165E-4
-827.39702	-3.9431582E-6	-3.04097041127669E-4	-3.03060744257565E-4
-777.40414	-4.3294878E-6	-3.40890336365764E-4	-3.00232542443506E-4
-727.39163	-3.9141602E-6	-3.01335326841955E-4	-2.83199434506998E-4
-677.39752	-3.8110072E-6	-2.91511231603859E-4	-2.82813232239424E-4
-627.39251	-3.8635614E-6	-2.96516393508621E-4	-2.7209258688795E-4
-577.38965	-4.0168408E-6	-3.11114431603859E-4	-2.81908183713347E-4
-527.37961	-3.8000443E-6	-2.90467145889574E-4	-2.78073626343732E-4
-477.39396	-3.9817986E-6	-3.07777079222907E-4	-2.67538749246227E-4
-427.39451	-3.4766096E-6	-2.59663841127669E-4	-2.49596454915161E-4
-377.38769	-3.5698837E-6	-2.68547088746717E-4	-2.63478041309719E-4
-327.38156	-3.5188135E-6	-2.63683260175288E-4	-2.39775776003596E-4
-277.3855	-3.9987957E-6	-3.09395850651479E-4	-2.29851810470717E-4
-227.37894	-2.3354338E-6	-1.50980431603859E-4	-2.03651546525138E-4
-177.37484	-3.0550511E-6	-2.1951541255624E-4	-1.6710222997185E-4
-127.37624	-2.4103358E-6	-1.58113955413383E-4	-1.27116394597701E-4
-77.374726	-1.9389944E-6	-1.13224298270526E-4	-9.58780494729841E-5
-26.945298	-1.6270169E-6	-8.35121554133833E-5	-6.12990803119864E-5
23.136468	-1.0807881E-6	-3.14903649371928E-5	-5.78553231147075E-5
73.120857	-1.928487E-6	-1.12223593508621E-4	-3.86089732507619E-5
123.14284	-1.1810446E-6	-4.10386030324309E-5	1.20070848762222E-5
173.53126	-7.2621831E-8	6.45254702056643E-5	5.41998650077415E-5
223.65521	3.7879455E-7	1.07517506491379E-4	6.40593414748616E-5
273.66371	-6.1891558E-7	1.24974941104263E-5	6.42952721460635E-5
323.65761	-1.1089559E-6	-3.41730125562404E-5	7.4849042010009E-5
373.66759	9.4993409E-7	1.61911748396141E-4	1.3903588571976E-4
423.69974	1.3195922E-6	1.97117282681855E-4	1.89055933157401E-4
474.15898	1.7476265E-6	2.37882454110426E-4	2.16787408168739E-4
524.15434	2.1006519E-7	9.14480436342358E-5	2.09144730799125E-4
574.16378	1.4062389E-6	2.05369349348522E-4	1.9217642327078E-4
624.15875	1.7158901E-6	2.34859939824712E-4	2.15560947216358E-4
674.15185	1.0097287E-6	1.67606473158045E-4	2.80474777828603E-4
724.15364	2.5965135E-6	3.18728835062807E-4	2.73691845765111E-4
774.16322	2.2179868E-6	2.82678673158045E-4	2.59767092023614E-4
824.16252	1.0430119E-6	1.70776301729474E-4	2.85286966127923E-4
874.16823	1.5963534E-6	2.23475492205664E-4	2.34268107171007E-4
924.16998	2.5032627E-6	3.09847806491379E-4	2.39204376286653E-4
974.16409	5.4843138E-7	1.23673395062807E-4	2.57096613384159E-4
1024.1715	2.2189372E-6	2.8276918744376E-4	2.57133755424975E-4
1074.1662	1.7662497E-6	2.39656092205664E-4	2.56192907624521E-4
1124.1624	2.0099222E-6	2.62862996967569E-4	2.85612485855814E-4
1174.1669	1.8025724E-6	2.43115396967569E-4	2.69690755969193E-4
1224.1658	1.9142486E-6	2.53751225538998E-4	2.89003802227696E-4
1274.1736	2.1715863E-6	2.7825957791995E-4	2.87381075697084E-4
1324.1592	2.3037483E-6	2.90846435062807E-4	2.86894067080304E-4
1374.1781	1.7317546E-6	2.36370844586617E-4	2.95270251207288E-4
1424.166	2.130169E-6	2.74315073158045E-4	3.00373501093909E-4
1474.1681	2.6749464E-6	3.26198635062807E-4	3.22436872068966E-4
1524.1722	2.4327198E-6	3.03129435062807E-4	3.44186877057628E-4
1574.1696	2.7604534E-6	3.34342158872331E-4	3.34247336921574E-4
1624.1714	2.2046989E-6	2.81413158872331E-4	3.15666983361483E-4
1674.165	1.9124843E-6	2.53583196967569E-4	2.72625214880757E-4
1724.6741	1.7418727E-6	2.37334473158045E-4	2.2856394635468E-4
1774.6587	7.8773823E-7	1.46464523634236E-4	2.27681562363751E-4
1824.6627	1.6338691E-6	2.27048416015188E-4	2.41178526853546E-4
1874.6557	2.2632671E-6	2.86991082681855E-4	2.60544993316028E-4
1924.6705	2.1091667E-6	2.72314854110426E-4	2.93384333043919E-4
1974.6655	2.4135216E-6	3.01301035062807E-4	3.3969654603709E-4
