H	M	M_over_mass	M_over_mass_smoothed
Oe	emu	emu/g	emu/g
 x=0%, d =12% - short after synthesis	 x=0%, d =12% - short after synthesis	 x=0%, d =12% - short after synthesis	 x=0%, d =12% - short after synthesis
1976.3748	4.7452082E-6	5.16792632158791E-4	5.23344916295707E-4
1925.7173	4.9227429E-6	5.32365851457037E-4	5.25660067185168E-4
1875.0595	4.9112926E-6	5.31361439176335E-4	5.27426377809631E-4
1824.4196	4.8755663E-6	5.28227553211422E-4	5.28643848169096E-4
1773.5588	4.8946556E-6	5.29902053211423E-4	5.29312478263564E-4
1722.6216	4.7797572E-6	5.19823246193879E-4	5.29432268093032E-4
1671.9881	4.9191821E-6	5.32053500579844E-4	5.29123845752215E-4
1621.3355	5.0024013E-6	5.39353430404405E-4	5.28677573556574E-4
1570.7033	4.7072642E-6	5.13464211106159E-4	5.23561690045349E-4
1520.0657	4.8435416E-6	5.25418369000896E-4	5.14232550062525E-4
1469.4236	4.8365657E-6	5.24806447948265E-4	5.18886766682162E-4
1418.7918	4.560899E-6	5.0062515847458E-4	5.14800576153393E-4
1368.1518	4.4533167E-6	4.91188114614931E-4	5.11679263226554E-4
1317.5187	4.72093E-6	5.14662965492124E-4	5.15697567463253E-4
1266.8804	5.3094218E-6	5.66285053211423E-4	5.12782529451557E-4
1216.2447	4.2884528E-6	4.76726369000896E-4	5.09313206893997E-4
1165.6017	4.6535561E-6	5.08752974264054E-4	5.09025104411684E-4
1114.965	4.7603826E-6	5.18123719878089E-4	5.10523330682489E-4
1064.3335	4.3066236E-6	4.78320298825457E-4	4.99137236113316E-4
1013.6945	4.4354446E-6	4.89620386544756E-4	4.85225956822431E-4
963.05661	4.609602E-6	5.04897351457036E-4	4.8207338110575E-4
912.42233	4.4534372E-6	4.9119868479037E-4	4.6770174265648E-4
861.48956	3.6647596E-6	4.22016439176335E-4	4.6460563929493E-4
810.64088	3.9168158E-6	4.44126632158791E-4	4.64832670845251E-4
760.00851	4.0797465E-6	4.58418798825458E-4	4.48901192212772E-4
709.37328	4.0850526E-6	4.58884246193879E-4	4.39479240529952E-4
658.73382	4.2549728E-6	4.73789526895633E-4	4.41588515813148E-4
608.10071	3.5817712E-6	4.14736754965808E-4	4.37930821133559E-4
557.46428	3.1630491E-6	3.78006746193879E-4	4.32093253595833E-4
506.83157	3.9410695E-6	4.4625414970265E-4	4.14313090200749E-4
456.19244	3.709212E-6	4.25915772509668E-4	4.01195944083708E-4
405.55983	2.9540713E-6	3.59675360228966E-4	3.82183651403873E-4
354.92601	3.2861658E-6	3.88806456720194E-4	3.51466987047762E-4
304.28453	2.1251249E-6	2.86960763737738E-4	3.1478791008379E-4
253.65708	2.3700334E-6	3.08443965492124E-4	2.73638838661061E-4
202.74615	1.3226933E-6	2.16572026895633E-4	2.46470515117119E-4
151.87936	7.2590688E-7	1.64222340930721E-4	2.28980284037088E-4
101.23391	1.3638571E-6	2.20182886544756E-4	1.82054354508605E-4
50.600864	1.1278718E-6	1.99482421632475E-4	1.64230670255139E-4
-0.036918599	6.250123E-7	1.55371939176335E-4	1.31791164249741E-4
-50.676753	-6.2243116E-8	9.50863763693173E-5	1.12729176389356E-4
-101.3165	-1.4670297E-6	-2.81405169640161E-5	6.13507276734517E-5
-151.95454	5.6465022E-8	1.05499370930721E-4	-2.77361655056018E-7
-202.59293	-1.6453661E-6	-4.37840608236652E-5	-3.82232452705633E-5
-253.22777	-1.9051955E-6	-6.65761134552441E-5	-6.86286744755688E-5
-303.86262	-3.4652331E-6	-2.03421516964016E-4	-1.1243687098111E-4
-354.49851	-2.4725786E-6	-1.16346560823665E-4	-1.48509598038322E-4
-405.12833	-2.3681073E-6	-1.07182411700858E-4	-1.92134935275062E-4
-455.76483	-3.6448372E-6	-2.19176262578051E-4	-1.82093110633504E-4
-506.40194	-4.5224344E-6	-2.96158473104367E-4	-2.02139566773855E-4
-557.03048	-3.3612707E-6	-1.94302008192086E-4	-2.31859226611094E-4
-607.66937	-3.424805E-6	-1.99875192402613E-4	-2.61389466827019E-4
-658.30652	-3.4382079E-6	-2.01050885385069E-4	-2.77449014735251E-4
-708.93532	-5.9854013E-6	-4.24488902928928E-4	-2.88874782452913E-4
-759.56797	-5.1930127E-6	-3.54981130999104E-4	-3.13480120550488E-4
-810.20807	-3.9329211E-6	-2.44446780121911E-4	-3.42052600696073E-4
-860.84599	-5.2078688E-6	-3.56284297665771E-4	-3.61722553258131E-4
