H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum
1492.7725	-3.7301975E-6	-4.5321459609868E-4	1.363626404181E-4	0.638886829436148
1477.7221	-3.7180941E-6	-4.60568434595525E-4	1.27931635449587E-4	0.599385848692611
1462.6799	-4.0573753E-6	-4.66918124784854E-4	1.07865045704216E-4	0.505369776103313
1447.636	-4.0086455E-6	-4.72263666666667E-4	1.06956198350663E-4	0.501111640573139
1432.4437	-4.1160154E-6	-4.69749076305221E-4	1.02998980747184E-4	0.482571267635772
1417.4076	-3.3807651E-6	-4.77137838783706E-4	8.91410794029924E-5	0.41764416864969
1402.3611	-4.3107441E-6	-5.01037333333333E-4	5.87821421491662E-5	0.275406345242352
1387.3206	-4.4697387E-6	-4.99382137693632E-4	5.39932378103227E-5	0.252969350035044
1372.2833	-4.1905947E-6	-4.95757114744693E-4	5.11682038087035E-5	0.239733488579077
1357.2427	-3.4249818E-6	-4.59506266207688E-4	8.0969409953025E-5	0.379358227793143
1342.2036	-3.7195535E-6	-4.45407821572002E-4	8.86178058067809E-5	0.415192524945914
1327.1601	-3.8106917E-6	-4.38713480780264E-4	8.88618323361775E-5	0.416335839091097
1312.1218	-3.7818113E-6	-4.43142885255307E-4	7.79825220301957E-5	0.365364047649325
1297.0822	-3.3970364E-6	-4.50891405048766E-4	6.37883522610167E-5	0.298861462392069
1282.0437	-3.6500681E-6	-4.32296014343087E-4	7.59301735060729E-5	0.355748375516148
1267.0035	-3.869072E-6	-3.9677689902467E-4	1.04984001466914E-4	0.491871495250203
1251.8628	-2.6901717E-6	-3.90374901893287E-4	1.04915673239364E-4	0.491551363544583
1236.7723	-2.7962487E-6	-3.61886593803786E-4	1.26934127708204E-4	0.594712321132009
