H	M	M_over_mass	M/Ms
Oe	emu	emu/g	-
x=0%, d =8.7% - short after synthesis	x=0%, d =8.7% - short after synthesis	x=0%, d =8.7% - short after synthesis	x=0%, d =8.7% - short after synthesis
1482.418	-5.5706167E-7	3.43416408965596E-5	0.239424210090054
1444.4743	-2.901318E-7	5.55700599441787E-5	0.387425217882493
1406.5222	-1.4755623E-7	6.86620570718383E-5	0.478700444952531
1368.5726	-4.6110004E-8	7.36176322795384E-5	0.513249891300166
1330.6294	-4.5586264E-7	6.32475597060835E-5	0.440951469627347
1292.6762	-1.2829967E-7	5.3736667223814E-5	0.374643108687992
1254.7419	-4.8432953E-7	6.1902109827664E-5	0.431571216792993
1216.7906	-1.9502131E-7	6.7359910709123E-5	0.469622097029267
1178.8539	3.6382784E-8	5.88730241032466E-5	0.41045293479103
1140.9068	-5.3400638E-7	5.96385429786265E-5	0.415790005101646
1102.9712	-3.8847651E-7	5.72534222998018E-5	0.399161340320684
1065.0294	-2.2746226E-7	5.54196985409366E-5	0.386376923180801
1027.0844	-1.3706559E-7	5.41243657547157E-5	0.377346078379912
989.12401	-4.2703145E-7	6.13685334345536E-5	0.427851210901953
951.16153	-4.9665005E-7	6.63340491387076E-5	0.462469960737985
913.1884	2.4498888E-7	7.16218033940267E-5	0.499335304171733
875.22725	-2.1410687E-7	7.01451924821726E-5	0.489040618421395
837.25556	-3.0691203E-7	6.71712600100348E-5	0.468306855723583
799.29337	-4.8377337E-7	5.48293499087177E-5	0.382261110678641
761.33078	-7.8119738E-8	5.78579080647461E-5	0.403375714561519
723.36801	-2.2672449E-7	6.50175370566407E-5	0.453291457408097
685.39854	-3.4223692E-7	6.30892732623145E-5	0.439847922860857
647.42818	-5.1146809E-8	7.85037977354654E-5	0.547315424399717
609.46411	-1.433469E-7	1.01676761124523E-4	0.708873472006776
571.49943	7.1717696E-7	1.27398568140734E-4	0.888201633567105
533.53975	2.5366625E-7	1.2454114785198E-4	0.868280174438496
495.56747	3.787064E-7	1.23399804082983E-4	0.860322915460791
457.59475	-7.5627024E-8	1.15517189574371E-4	0.805366637807853
419.61242	4.2991452E-7	1.07255094356539E-4	0.747764683749322
381.64011	3.6797147E-7	1.10736911539923E-4	0.772039334204164
343.66188	-2.0114088E-7	1.21490450850967E-4	0.847011222209576
305.6839	6.3229631E-7	1.18625993971534E-4	0.827040705140781
267.70957	3.2474336E-7	1.20839917831717E-4	0.84247581416834
229.72938	3.3727454E-7	1.42027794782071E-4	0.990194169199888
191.75374	3.2737135E-7	1.33359864437593E-4	0.929762800119612
153.77793	7.6374659E-7	1.35897062309934E-4	0.947451721806756
115.80095	2.3782484E-7	1.43434287132629E-4	1
77.814631	3.2175842E-7	1.32271106636175E-4	0.922172161764002
39.849831	4.434256E-7	8.42218116513722E-5	0.587180466644599
1.860885	-4.2518335E-7	7.30687640323246E-5	0.509423273145008
-36.108574	-8.8082099E-7	3.05071073960531E-5	0.212690480121007
-74.086108	2.473912E-8	3.96072447314128E-5	0.276135124475429
-112.06958	-9.063355E-7	5.23496294831858E-5	0.364972912193442
-150.0424	5.1257701E-7	8.62696860181402E-5	0.601457906214361
-188.01775	-6.7249478E-7	6.31543965044624E-5	0.440301951276586
-225.99415	1.9203334E-7	6.26419169198626E-5	0.436729028826559
-263.97231	-1.4273517E-6	-3.59972743162063E-5	-0.250967010997314
-301.9448	-1.1745516E-6	-9.18751274063785E-5	-0.640538111514612
-339.92259	-3.0728484E-6	-1.36266602381049E-4	-0.950028093736391
-377.89754	-1.6969886E-6	-1.06974836018334E-4	-0.745810769215998
-415.8766	-1.304436E-6	-1.04773244326338E-4	-0.730461638014472
-453.84922	-1.3858333E-6	-6.54765736069864E-5	-0.456491783909677
-491.82972	-2.1021647E-6	-7.94247995441698E-5	-0.553736495868164
-529.80301	-1.2368826E-6	-5.16418053699044E-5	-0.360038080170838
-567.77778	-1.1116813E-6	-2.61077970112418E-5	-0.182019219624251
-605.75813	-4.8972585E-7	-1.93691326242103E-5	-0.135038372005854
-643.73404	-1.5585257E-6	-4.82478035968547E-5	-0.336375664155124
-681.70853	-1.7751147E-6	-6.979663404265E-5	-0.486610526938455
-719.85271	-1.4048014E-6	-7.06330258866217E-5	-0.492441711801515
-758.04332	-1.2011869E-6	-3.61968358156997E-5	-0.252358320589203
-796.02018	-8.1468486E-7	-1.63542044073917E-5	-0.114018793792795
-833.99278	-1.1203621E-6	-1.64659999494383E-5	-0.114798213722865
-871.9622	-1.2507168E-6	-5.71668232523765E-5	-0.398557586161504
-909.94566	-1.5860887E-6	-9.63783946809479E-5	-0.671934142161074
-947.91607	-2.4444322E-6	-1.1639330764954E-4	-0.81147478734924
-985.89429	-1.7180265E-6	-1.12270912512761E-4	-0.782734133917008
-1023.8713	-1.74315E-6	-1.04631400354707E-4	-0.729472725429715
-1061.8399	-1.526319E-6	-9.56288714793269E-5	-0.666708591028185
-1099.8018	-2.0886371E-6	-1.02740444934241E-4	-0.716289298661487
-1137.7606	-1.8964996E-6	-1.0557172558267E-4	-0.736028516564188
-1175.7287	-1.5523072E-6	-9.90848218339368E-5	-0.690802902253884
-1213.6883	-1.8394051E-6	-9.41240563830756E-5	-0.65621727039395
-1251.6563	-1.6221304E-6	-1.05665021935254E-4	-0.73667896322132
-1289.6206	-2.0769917E-6	-9.97982656029337E-5	-0.695776913581714
-1327.5838	-1.7188282E-6	-8.97043983283643E-5	-0.625404149326011
-1365.5417	-1.1837547E-6	-6.66035057245143E-5	-0.464348567249673
-1403.5126	-1.6007325E-6	-5.63234530396105E-5	-0.392677749271555
-1441.4701	-1.1152451E-6	-6.06035974165102E-5	-0.422518204175772
-1479.4365	-1.8703244E-6	-7.84876060284656E-5	-0.54720253851083
-1480.3773	-1.4232176E-6	-7.44454358156997E-5	-0.519021199909215
-1442.8393	-1.7026258E-6	-7.67333152483238E-5	-0.534971914890693
-1405.3262	-1.3621216E-6	-8.060313439726E-5	-0.561951650533384
-1367.8182	-1.6437073E-6	-8.71959266971587E-5	-0.607915502215532
-1330.313	-2.0734742E-6	-8.85988988349499E-5	-0.617696790677571
-1292.8026	-1.4016509E-6	-1.00682678470208E-4	-0.701942893034429
-1255.3052	-1.8627645E-6	-1.07462285359773E-4	-0.74920918497267
-1217.802	-1.9592684E-6	-1.07684132877503E-4	-0.750755868978046
-1180.2921	-1.9954979E-6	-1.05643473809621E-4	-0.736528733272372
-1142.7931	-1.631699E-6	-1.04104012816713E-4	-0.72579586720748
-1105.2866	-1.4563954E-6	-8.8808392249337E-5	-0.619157343928645
-1067.7918	-2.083265E-6	-6.91655128167129E-5	-0.482210454692454
-1030.2924	-1.168638E-6	-7.59063902229945E-5	-0.529206731113089
-992.78127	-1.4398651E-6	-9.15502473658516E-5	-0.638273101892286
-955.28634	-2.1277819E-6	-1.01744012816713E-4	-0.709342339622281
-917.69251	-2.0882716E-6	-1.21735396808607E-4	-0.848718944697254
-879.90187	-1.8697297E-6	-1.26056278267574E-4	-0.878843411763983
-842.39763	-1.6398413E-6	-8.71028679332275E-5	-0.607266711986979
-804.90316	-1.9131654E-6	-8.27995563830756E-5	-0.577264739403026
-767.39359	-1.0842359E-6	-9.74448274063785E-5	-0.679369133799053
-729.89312	-2.2980982E-6	-1.1024256398186E-4	-0.7685928252282
-692.39374	-2.0355066E-6	-1.03355007750857E-4	-0.72057392843099
-654.89233	-1.6301462E-6	-1.03889996605973E-4	-0.724303781772275
-617.38493	-1.3727983E-6	-6.99772326748689E-5	-0.487869630572803
-579.891	-1.656295E-6	-7.84125442250209E-5	-0.546679220098299
-542.38596	-1.6998797E-6	-1.08971287892701E-4	-0.759729699719139
-504.88666	-2.2383881E-6	-1.23433826899793E-4	-0.860560116882361
-467.38758	-2.2190853E-6	-1.37255678470208E-4	-0.95692376776895
-429.88101	-1.8118834E-6	-1.43186755977807E-4	-0.998274253947436
-392.1796	-2.413846E-6	-1.3872713439726E-4	-0.967182513822403
-354.50692	-2.0608132E-6	-1.31757026494524E-4	-0.918588080496356
-317.00738	-2.0328173E-6	-1.21134366920056E-4	-0.844528664251998
-279.5131	-1.6896905E-6	-1.08143995592802E-4	-0.753961955364306
-242.00685	-1.7577352E-6	-1.05273154660684E-4	-0.733946929741716
-204.50793	-2.0319401E-6	-9.34871176799347E-5	-0.651776639664201
-167.00768	-1.5130879E-6	-7.50103111956389E-5	-0.522959417132108
-129.49872	-1.3605913E-6	-8.07719702635214E-5	-0.56312874611936
-92.00293	-1.4157286E-6	-8.30153816110391E-5	-0.578769437005517
-54.294299	-2.3164314E-6	-9.64311794833795E-5	-0.672302149026704
-16.614002	-1.5171897E-6	-9.31838030902691E-5	-0.649661980779431
20.890039	-1.4820184E-6	-8.69011672240077E-5	-0.605860488180579
58.384671	-1.3153761E-6	-4.82748829281617E-5	-0.336564456750314
95.893385	-1.4203798E-6	-1.86163342452843E-5	-0.129789986881382
133.39901	-4.7314686E-7	7.30031357552581E-7	0.00508965723709804
170.90269	-3.9139551E-7	2.27091717324259E-5	0.15832456929512
208.40894	-9.6843922E-7	3.57287567070966E-5	0.249094950875027
245.90759	-2.8314068E-7	3.97126442349589E-5	0.276869952288591
283.41362	-3.5198446E-7	5.83732646098322E-5	0.406968694701683
320.90712	6.7066628E-8	8.82207473909872E-5	0.615060381688324
358.40648	-6.1289934E-8	8.16154374163165E-5	0.569009258859074
395.91026	2.9150731E-8	8.64111042805515E-5	0.602443850825224
433.41455	-3.0106552E-7	8.62041305014229E-5	0.601000864052212
470.91602	1.4621728E-7	7.57445401569447E-5	0.528078339364607
