H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum
2010.9123	-5.2174985E-7	-3.64860034965035E-5	2.90149812983385E-4	0.945879714163893
1985.8174	-1.4445028E-7	-1.01014181818182E-5	3.12239490970413E-4	0.900910333015799
1960.7152	-5.2923515E-7	-3.70094510489511E-5	2.81035301405292E-4	0.906547203688566
1935.6246	-5.0778952E-7	-3.55097566433566E-5	2.78240824413697E-4	0.897401063181029
1910.5246	-1.5770075E-7	-1.10280244755245E-5	2.98426776406107E-4	0.924675812744801
1885.4228	-4.0146164E-7	-2.80742405594406E-5	2.77084472082851E-4	0.935015452983168
1860.3309	8.8501188E-7	6.18889426573426E-5	3.62753261411838E-4	0.938728195443104
1835.2204	7.749519E-8	5.41924405594406E-6	3.01985985595501E-4	0.948465175141687
1810.1322	-6.6494152E-8	-4.6499406993007E-6	2.87623040194956E-4	0.97227893971693
1785.0338	4.3397372E-7	3.03478125874126E-5	3.18325287140839E-4	0.953832643191611
1759.935	5.4160732E-7	3.78746377622378E-5	3.21556537516186E-4	0.931104691456752
1734.8357	7.7315379E-7	5.40666986013986E-5	3.33452937982559E-4	0.927966376515858
1709.7402	-1.4128862E-7	-9.88032307692308E-6	2.65210906288607E-4	0.916529482187798
1684.6369	2.0378452E-7	1.42506657342657E-5	2.85045550140526E-4	0.939301038612067
1659.5439	4.9707824E-7	3.47607160839161E-5	3.01261018341097E-4	0.938229603566131
1634.446	1.4586621E-6	1.02004342657343E-4	3.64209224147004E-4	0.978867475177109
1609.3469	1.0950106E-6	7.65741678321678E-5	3.34483423178365E-4	0.971832552283203
1584.2481	1.2217758E-6	8.54388671328671E-5	3.39052547679587E-4	0.979459877368213
1559.1538	3.7675732E-7	2.63466657342657E-5	2.756655416413E-4	0.973879174251467
1534.0515	1.0360939E-6	7.24541188811189E-5	3.17476820975503E-4	0.994781805357262
1508.9572	1.667953E-6	1.1664006993007E-4	3.57367967384768E-4	1.00841901380341
1483.8573	1.9654127E-6	1.37441447552448E-4	3.73873581946385E-4	1.0463658467948
1458.7543	1.9108216E-6	1.33623888111888E-4	3.65759728890542E-4	1.050760180222
1433.66	1.6726494E-6	1.1696848951049E-4	3.44809525649458E-4	1.01893602572639
1408.561	1.4943982E-6	1.04503370629371E-4	3.28048797739537E-4	0.98475419491584
1383.4645	1.2221337E-6	8.54638951048951E-5	3.0471414105281E-4	0.940571546589342
1358.3599	1.4607511E-6	1.02150426573427E-4	3.17104105071465E-4	0.909752460410876
1333.2738	1.1564604E-6	8.08713566433566E-5	2.91531633903998E-4	0.91929855056273
1308.1645	1.2519272E-6	8.75473566433566E-5	2.93910262065004E-4	0.901998412293697
1283.0683	2.0813138E-6	1.4554641958042E-4	3.47614195183802E-4	0.913988972252121
1257.9752	1.1388705E-6	7.96412937062937E-5	2.77414470045936E-4	0.915889501811891
1232.8789	2.1086555E-6	1.47458426573427E-4	3.40936455980142E-4	0.929868016078486
1207.7765	1.5525307E-6	1.0856858041958E-4	2.97750418898984E-4	0.909453527439307
1182.6777	1.9494735E-6	1.36326818181818E-4	3.21213081861743E-4	0.927144106429865
1157.5833	1.9202947E-6	1.34286342657343E-4	3.1487778458292E-4	0.932743033243143
1132.4852	1.9290907E-6	1.34901447552448E-4	3.11197434481182E-4	0.936876664088152
1107.3823	2.5970477E-6	1.81611727272727E-4	3.53611437700839E-4	0.932091172813459
1082.2938	2.0043055E-6	1.40161223776224E-4	3.07867122215049E-4	0.928840335289748
1057.1876	2.1786187E-6	1.52350958041958E-4	3.15760015196314E-4	0.934448739003546
1032.0856	2.1877716E-6	1.52991020979021E-4	3.12103955664713E-4	0.895822112636649
1006.9808	2.4177407E-6	1.69072776223776E-4	3.23889109230267E-4	0.906982641682022
981.8537	1.9815165E-6	1.38567587412587E-4	2.89083502170239E-4	0.900778534152422
