H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis
1974.5458	-4.4684153E-5	-0.00369290520661157	0.00229219206960606	0.976364323856331
1923.8502	-4.281468E-5	-0.00353840330578512	0.00228196652601428	0.966259560646773
1873.1868	-4.0507318E-5	-0.00334771223140496	0.00230803478485349	0.959363143129831
1822.5463	-3.9600228E-5	-0.00327274611570248	0.00221845249499295	0.955675071305506
1771.8975	-3.4380464E-5	-0.00284136066115702	0.00248526257442006	0.955195345173797
1721.2604	-3.6533306E-5	-0.00301928148760331	0.0021428043901804	0.957923964734704
1670.6053	-3.2690228E-5	-0.00270167173553719	0.00229581829626088	0.971851972890591
1619.9604	-2.9459333E-5	-0.00243465561983471	0.00239827170928667	0.979932296148112
1569.3197	-2.9156772E-5	-0.0024096505785124	0.00225872769517715	0.98247709147059
1518.6779	-2.5462759E-5	-0.00210436024793388	0.00239946539604542	0.975462346602684
1468.0402	-2.2464765E-5	-0.00185659214876033	0.00248269418781919	0.970515480691435
1417.4049	-2.068677E-5	-0.00170965041322314	0.00246510441438223	0.964962239077675
1366.7656	-2.5307016E-5	-0.00209148892561984	0.00191872139563533	0.961192567128874
1316.1318	-1.6122215E-5	-0.00133241446280992	0.00251326922348712	0.961759183557418
1265.4835	-1.8420105E-5	-0.00152232272727273	0.00215878720857797	0.967811420349017
1214.39	-1.1396853E-5	-9.41888677685951E-4	0.00257320089976318	0.99117628128142
1163.709	-1.0131486E-5	-8.37312892561984E-4	0.00251309668089154	1.02546915001475
1113.0712	-9.6333568E-6	-7.96145190082645E-4	0.00238972475103669	1.04238684432558
1062.4326	-3.2965541E-6	-2.72442487603306E-4	0.00274888522170663	1.04022793025914
1011.7949	-2.9837154E-6	-2.46588049586777E-4	0.00261020035232338	1.02947335485609
961.16211	-2.1948155E-6	-1.81389710743802E-4	0.00251087533804568	1.03187698171907
910.51189	-2.8732018E-6	-2.37454694214876E-4	0.00229023036538776	1.03198368385981
859.88691	1.5672437E-6	1.29524272727273E-4	0.00249271135658598	1.01693219406516
809.24671	4.0130181E-6	3.31654388429752E-4	0.00253029404152864	1.00494365875752
758.61417	8.4080563E-6	6.94880685950413E-4	0.00272899779826463	0.994188288951511
707.98428	6.33685E-6	5.23706611570248E-4	0.00239330979386144	0.990902060812535
657.34664	6.013095E-6	4.9695E-4	0.00220201406985204	0.981452986356442
606.7109	1.0628201E-5	8.78363719008265E-4	0.00241889485017479	0.970768159873052
556.0788	1.4792002E-5	0.00122247950413223	0.00259848952422545	0.959202620946751
505.43248	9.2912732E-6	7.67873818181818E-4	0.00197931652152985	0.970940772933825
454.80285	2.1528442E-5	0.00177921008264463	0.00282613970079907	0.987820868286688
404.16694	1.8775345E-5	0.00155168140495868	0.00243407753203912	0.991908655147831
353.53501	1.8526008E-5	0.00153107504132231	0.00224895060971794	0.99492479082941
302.89337	2.8211078E-5	0.00233149404958678	0.0028848175081672	1.01976069591474
252.25611	2.1752854E-5	0.00179775652892562	0.00218654210981762	0.993875302750066
201.61745	2.2992913E-5	0.00190024074380165	0.00212448389792362	0.908227122413101
150.98771	3.2401997E-5	0.00267785099173554	0.00273758070323607	0.806486951216838
100.36388	2.3674769E-5	0.00195659247933884	0.00185182795184107	0.715751229048692
49.70045	1.803994E-5	0.00149090413223141	0.00122151669171236	0.636972982427406
-0.93238061	1.1837547E-5	9.78309669421488E-4	5.44398743825906E-4	0.554241426429903
-51.570864	2.2427879E-5	0.00185354371900826	0.00125509094050929	0.438840105939913
-102.2077	2.719912E-5	0.00224786115702479	0.00148487187855926	0.273778868451601
