DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
-z_poled	-z_poled	-z_poled
0	624.264	-54.7171
0.0806452	596.33	-53.7481
0.16129	566.83	-55.2903
0.241935	536.861	-58.2467
0.322581	489.417	-61.3417
0.403226	499.745	-59.979
0.483871	481.435	-62.2211
0.564516	482.635	-60.3045
0.645161	465.864	-63.1018
0.725806	456.291	-61.9287
0.806452	454.44	-61.5944
0.887097	442.076	-62.9833
0.967742	441.868	-63.1368
0.951613	463.934	-61.7709
0.870968	479.192	-62.1905
0.790323	477.079	-62.0326
0.709677	482.609	-62.5653
0.629032	481.566	-62.2271
0.548387	490.355	-63.2075
0.467742	497.737	-62.3677
0.387097	513.569	-62.9929
0.306452	513.074	-63.5196
0.225806	523.976	-63.0779
0.145161	526.271	-63.6655
0.0645162	534.748	-62.9993
-0.016129	539.104	-63.3678
-0.0967742	546.799	-63.3561
-0.177419	565.396	-62.6032
-0.258065	570.117	-63.2397
-0.33871	571.395	-63.8001
-0.419355	585.114	-62.9004
-0.5	584.853	-64.2017
-0.580645	603.737	-63.6203
-0.66129	611.588	-63.5835
-0.741935	628.881	-62.7547
-0.822581	632.845	-62.8699
-0.903226	630.576	-63.442
-0.983871	651.938	-62.3213
-0.935484	636.445	-63.6127
-0.854839	615.161	-63.5627
-0.774194	611.771	-64.4698
-0.693548	603.868	-64.2929
-0.612903	603.737	-63.6646
-0.532258	615.422	-62.3401
-0.451613	597.138	-62.7033
-0.370968	579.898	-63.6063
-0.290323	571.264	-63.4985
-0.209677	573.299	-62.7351
-0.129032	561.457	-63.4661
-0.0483871	556.188	-63.5757
0.032258	546.746	-64.4983
0.112903	547.998	-63.6569
0.193548	545.833	-63.5238
0.274194	525.776	-63.5715
0.354839	519.985	-64.2375
0.435484	519.073	-64.3399
0.516129	517.873	-63.7648
0.596774	511.483	-63.8325
0.677419	504.988	-63.7524
0.758065	491.92	-64.1984
0.83871	498.493	-61.7359
0.919355	483.626	-63.6941
1	487.591	-63.2341
0.919355	475.88	-63.7876
0.83871	489.651	-64.1683
0.758065	491.19	-64.5218
0.677419	490.851	-65.6265
0.596774	507.648	-64.2193
0.516129	519.803	-64.052
0.435484	535.4	-63.1592
0.354839	527.706	-65.0535
0.274194	540.408	-65.6733
0.193548	543.616	-64.9723
0.112903	554.597	-65.27
0.032258	561.874	-65.0893
-0.0483871	570.377	-64.7529
-0.129032	582.062	-65.1018
-0.209677	580.758	-64.8449
-0.290323	586.131	-65.0065
-0.370968	593.356	-64.7696
-0.451613	606.737	-64.4781
-0.532258	617.17	-64.0281
-0.612903	617.092	-64.9344
-0.693548	638.818	-63.8283
-0.774194	633.654	-65.0381
-0.854839	663.623	-63.3057
-0.935484	650.843	-64.3797
-0.983871	667.379	-63.4027
-0.903226	648.808	-64.1895
-0.822581	626.533	-64.7972
-0.741935	629.533	-64.4942
-0.66129	621.395	-63.9723
-0.580645	612.97	-64.4379
-0.5	613.518	-64.2589
-0.419355	609.397	-64.469
-0.33871	594.426	-64.5483
-0.258065	582.61	-65.2496
-0.177419	579.924	-65.3365
-0.0967742	570.403	-65.1387
