DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
+z_poled	+z_poled	+z_poled
0	502.275	141.862
0.0806452	533.705	144
0.16129	571.055	145.346
0.241935	599.877	146.244
0.322581	620.221	146.342
0.403226	636.68	146.146
0.483871	645.183	146.878
0.564516	637.436	146.181
0.645161	641.036	146.11
0.725806	653.555	146.642
0.806452	674.578	146.621
0.887097	671.474	146.794
0.967742	679.351	146.51
0.951613	687.306	146.72
0.870968	679.142	146.88
0.790323	668.083	147.429
0.709677	663.362	147.277
0.629032	659.346	147.217
0.548387	656.007	147.128
0.467742	656.372	147.775
0.387097	650.399	148.043
0.306452	638.766	147.655
0.225806	623.299	148.436
0.145161	630.185	147.681
0.0645162	611.223	148.583
-0.016129	612.684	148.699
-0.0967742	609.762	149.026
-0.177419	596.225	148.859
-0.258065	592.078	148.298
-0.33871	583.914	148.904
-0.419355	575.307	149.344
-0.5	561.9	149.191
-0.580645	568.082	149.646
-0.66129	550.763	149.028
-0.741935	542.104	150.143
-0.822581	543.46	149.642
-0.903226	545.364	150.029
-0.983871	531.879	149.831
-0.935484	529.48	149.693
-0.854839	539.548	150.114
-0.774194	539.417	149.716
-0.693548	551.624	149.661
-0.612903	560.336	149.987
-0.532258	571.186	150.466
-0.451613	578.28	150.209
-0.370968	601.964	150.379
-0.290323	596.199	150.384
-0.209677	610.806	150.526
-0.129032	611.875	150.502
-0.0483871	630.315	150.061
0.032258	638.088	149.827
0.112903	633.367	149.77
0.193548	634.358	149.68
0.274194	649.695	150.011
0.354839	663.388	149.604
0.435484	663.571	149.767
0.516129	668.057	149.734
0.596774	687.828	149.813
0.677419	701.078	150.552
0.758065	700.608	149.62
0.83871	716.128	149.64
0.919355	719.858	149.988
1	723.457	149.77
0.919355	722.153	149.936
0.83871	718.371	149.669
0.758065	690.749	150.127
0.677419	718.84	150.592
0.596774	698.339	150.637
0.516129	684.724	150.433
0.435484	690.019	150.392
0.354839	681.62	150.679
0.274194	663.649	150.166
0.193548	660.128	150.026
0.112903	655.12	150.978
0.032258	640.801	150.803
-0.0483871	624.134	150.653
-0.129032	630.368	151.059
-0.209677	615.187	151.08
-0.290323	619.361	151.975
-0.370968	600.294	151.026
-0.451613	594.008	151.111
-0.532258	593.747	151.462
-0.612903	576.089	151.135
-0.693548	572.099	151.601
-0.774194	561.77	152.358
-0.854839	563.674	152.242
-0.935484	567.534	152.545
-0.983871	549.459	152.814
-0.903226	565.422	152.476
-0.822581	562.944	152.006
-0.741935	562.474	152.318
-0.66129	567.43	151.637
-0.580645	580.524	151.479
-0.5	590.305	151.595
-0.419355	606.085	151.697
-0.33871	615.527	152.086
-0.258065	603.659	151.497
-0.177419	625.986	151.716
-0.0967742	631.62	151.117
