DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
x=0%, d =4%	x=0%, d =4%	x=0%, d =4%
0.0396824	9.01574	153.299
0.138889	10.4211	155.642
0.238096	11.6795	156.475
0.337301	13.5658	156.027
0.436508	14.6375	156.716
0.535714	15.7206	157.644
0.634921	17.2863	157.148
0.734127	18.5549	157.715
0.833333	19.8982	158.212
0.93254	21.2815	158.414
1.03175	22.2283	157.992
1.13095	23.4758	157.935
1.23016	24.3994	158.04
1.32937	25.8039	158.14
1.42857	26.5851	158.133
1.52778	27.9008	158.351
1.62698	28.9008	158.197
1.72619	29.7754	158.27
1.8254	30.5829	158.499
1.9246	31.7112	158.365
2.02381	32.3778	158.301
2.02381	32.0033	160.615
1.9246	30.9985	160.419
1.8254	29.6107	160.36
1.72619	28.9207	159.968
1.62698	27.7842	160.264
1.52778	26.9411	160.242
1.42857	25.8602	160.426
1.32937	24.9978	159.927
1.23016	23.5709	160.296
1.13095	22.4955	159.97
1.03175	21.1003	160.632
0.93254	20.1135	160.031
0.833333	18.5981	159.642
0.734127	17.8632	159.357
0.634921	16.235	159.646
0.535714	14.7833	159.208
0.436508	13.7131	159.171
0.337301	12.4188	159.034
0.238096	11.0647	157.594
0.138889	9.88567	158.833
0.0396824	8.49024	157.026
-0.0595239	7.05985	152.259
-0.15873	5.3332	149.688
-0.257936	4.20487	139.09
-0.357143	3.54079	87.3416
-0.456349	3.79223	34.9557
-0.555556	--	24.1171
-0.654762	4.47978	10.2217
-0.753968	5.33693	7.03461
-0.853175	6.77579	2.58597
-0.952381	6.70657	3.4152
-1.05159	8.32755	-0.477054
-1.15079	9.50376	-2.34067
-1.25	10.7741	-3.01007
-1.34921	11.9253	-3.54645
-1.44841	13.5474	-3.25628
-1.54762	14.7613	-4.032
-1.64683	16.075	-2.44235
-1.74603	17.3918	-2.43919
-1.84524	18.8602	-2.95251
-1.94444	19.4804	-2.55272
-2.04365	21.317	-3.71635
-2.00397	20.8274	-1.18853
-1.90476	19.4732	-0.359552
-1.80556	18.4556	-0.731986
-1.70635	17.2247	1.43301
-1.60714	15.7363	2.50651
-1.50794	14.9518	2.99799
-1.40873	13.4361	4.89597
-1.30952	12.0895	5.74307
-1.21032	10.7989	5.04385
-1.11111	10.1179	8.09999
-1.0119	8.2473	10.0418
-0.912699	6.96201	12.8747
-0.813492	5.52675	15.2476
-0.714286	4.3087	20.945
-0.615079	3.04612	25.9037
-0.515873	2.16861	41.7189
-0.416667	2.2544	70.9908
-0.31746	3.67987	121.3
-0.218254	4.71272	136.896
-0.119048	6.1401	146.377
-0.0198412	7.63341	149.863
