DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
x=1.4%, d =9%	x=1.4%, d =9%	x=1.4%, d =9%
0	47.8607	151.331
0.0400001	37.5077	150.537
0.0800002	26.572	157.117
0.12	18.142	135.363
0.16	11.0522	87.3859
0.2	6.77896	16.1835
0.24	13.6939	-18.6455
0.28	23.6584	-12.6966
0.32	33.7006	-21.0729
0.36	37.3329	-23.2487
0.4	48.0355	-23.1007
0.44	59.5539	-24.3582
0.48	64.0408	-25.1293
0.52	79.0167	-25.9427
0.56	92.1279	-25.8487
0.6	102.617	-25.0283
0.64	107.492	-24.5293
0.68	121.924	-25.4908
0.72	130.782	-24.9463
0.76	141.523	-25.0518
0.8	152.925	-24.7782
0.84	164.269	-23.7248
0.88	177.419	-24.6623
0.92	190.355	-29.9758
0.96	202.262	-32.9219
1	217.82	-38.1548
1.04	210.731	-39.1799
1.08	206.729	-40.5354
1.12	216.81	-40.7619
1.16	205.972	-42.1199
1.2	216.169	-42.8498
1.24	227.96	-44.0691
1.28	237.38	-42.8503
1.32	235.244	-42.9267
1.36	228.27	-45.6887
1.4	218.306	-46.1629
1.44	218.656	-48.7044
1.48	199.911	-52.2593
1.52	216.441	-49.1889
1.56	222.404	-49.0805
1.6	227.455	-46.9063
1.64	227.921	-49.4002
1.68	216.985	-51.9461
1.72	202.145	-52.1769
1.76	233.457	-49.6759
1.8	239.867	-50.0804
1.84	226.017	-51.4078
1.88	203.369	-54.6264
1.92	224.677	-51.9985
1.96	230.096	-54.1057
2	231.242	-50.8231
2	235.593	-53.1719
1.96	222.288	-53.384
1.92	241.712	-50.32
1.88	217.043	-54.532
1.84	228.95	-53.2674
1.8	224.386	-52.5763
1.76	247.675	-49.8047
1.72	209.041	-50.736
1.68	236.021	-46.985
1.64	232.194	-47.714
1.6	206.049	-49.821
1.56	214.052	-48.8129
1.52	210.964	-46.3866
1.48	227.629	-46.8197
1.44	211.022	-45.8261
1.4	227.804	-43.7501
1.36	220.928	-43.7646
1.32	205.836	-41.5068
1.28	212.518	-39.2924
1.24	201.718	-38.7797
1.2	198.319	-39.9251
1.16	197.037	-38.6925
1.12	197.775	-33.7055
1.08	188.704	-30.8506
1.04	187.033	-27.6359
1	179.283	-26.33
0.96	172.524	-26.3687
0.92	168.348	-24.8318
0.88	167.221	-25.686
0.84	155.45	-24.356
0.8	143.465	-25.8404
0.76	125.537	-25.2203
0.72	122.313	-25.3752
0.68	110.678	-24.4205
0.64	107.045	-22.7009
0.6	95.3911	-23.7719
0.56	87.5827	-23.8015
0.52	78.2786	-21.9167
0.48	67.44	-24.7262
0.44	61.069	-25.5042
0.4	49.9973	-21.2347
0.36	41.5479	-19.3555
0.32	34.9826	-23.8009
0.28	20.1232	-22.7903
0.24	14.4709	-21.2525
0.2	9.8868	8.66739
0.16	9.38178	82.5502
0.12	16.2773	130.736
0.0800002	24.1634	144.893
0.0400001	39.6055	149.077
0	47.647	147.883
-0.0400001	58.7575	150.762
-0.0799999	65.6919	151.908
-0.12	74.8794	153.907
-0.16	86.2036	154.792
-0.2	93.9926	154.732
-0.24	111.125	154.537
-0.28	121.458	154.473
-0.32	132.86	154.143
-0.36	144.825	155.036
-0.4	156.771	155.86
-0.44	160.539	154.254
-0.48	166.017	153.791
-0.52	181.944	155.512
-0.56	198.999	155.975
-0.6	200.999	154.505
-0.64	227.979	154.572
-0.68	231.514	155.421
-0.72	244.995	145.349
-0.76	240.391	143.439
-0.8	257.484	144.409
-0.84	254.804	142.801
-0.88	255.95	142.255
-0.92	256.493	140.435
-0.96	245.441	138.106
-1	253.211	139.008
-1.04	257.853	139.597
-1.08	254.978	139.688
-1.12	262.709	136.246
-1.16	240.702	132.063
-1.2	254.337	133.463
-1.24	235.166	131.958
-1.28	232.311	131.092
-1.32	241.032	129.909
-1.36	232.214	128.332
-1.4	235.962	128.819
-1.44	235.457	128.257
-1.48	229.183	127.976
-1.52	240.818	127.722
-1.56	240.197	126.941
-1.6	242.042	126.652
-1.64	242.353	126.854
-1.68	253.269	126.159
-1.72	261.097	126.663
-1.76	253.405	125.604
-1.8	250.394	126.341
-1.84	248.996	124.04
-1.88	250.181	127.285
-1.92	250.317	123.798
-1.96	250.53	123.4
-2	247.189	122.854
-2	208.924	122.308
-1.96	210.478	124.089
-1.92	229.98	125.864
-1.88	228.29	126.727
-1.84	224.191	125.02
-1.8	217.937	124.303
-1.76	223.958	126.362
-1.72	209.993	126.131
-1.68	215.062	126.174
-1.64	194.104	122.743
-1.6	215.878	126.274
-1.56	211.41	125.132
-1.52	222.638	128.997
-1.48	206.632	127.561
-1.44	200.96	126.394
-1.4	181.692	123.803
-1.36	179.633	123.48
-1.32	188.277	125.52
-1.28	189.811	125.546
-1.24	210.867	130.413
-1.2	193.152	130.259
-1.16	208.788	131.343
-1.12	194.939	130.525
-1.08	205.544	133.294
-1.04	194.706	131.226
-1	198.688	134.819
-0.96	220.812	138.84
-0.92	185.479	133.731
-0.88	185.052	135.778
-0.84	193.968	136.935
-0.8	201.135	138.687
-0.76	192.589	140.748
-0.72	207.992	141.891
-0.68	198.416	143.269
-0.64	187.538	143.09
-0.6	183.906	147.557
-0.56	166.114	145.444
-0.52	162.676	149.745
-0.48	159.063	153.15
-0.44	149.098	153.502
-0.4	140.532	153.26
-0.36	129.616	153.509
-0.32	118.137	154.132
-0.28	110.95	154.117
-0.24	95.8767	153.668
-0.2	89.292	153.783
-0.16	78.5699	153.886
-0.12	71.8298	154.393
-0.0799999	65.7501	152.225
-0.0400001	54.4648	155.491
