DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
May 2023	May 2023	May 2023
0	191.664	44.6111
0.02	180.983	42.7225
0.0400001	178.416	44.6459
0.0600001	171.283	45.123
0.0799999	161.048	43.4686
0.0999999	157.678	43.6307
0.12	152.258	44.8212
0.14	141.755	42.1912
0.16	133.321	43.7232
0.18	133.749	45.6042
0.2	113.797	42.1247
0.22	112.923	45.4109
0.24	107.057	45.7107
0.26	102.028	45.4653
0.28	94.8959	41.7696
0.3	89.9032	45.4109
0.32	76.6371	43.7448
0.34	79.1334	45.8991
0.36	70.9669	43.8957
0.38	62.0693	46.0253
0.4	61.6235	42.5738
0.42	46.8239	48.5596
0.44	39.1744	48.1109
0.46	47.1092	57.9789
0.48	38.3364	51.2957
0.5	31.6141	66.6109
0.52	20.8621	72.452
0.54	24.1965	80.2559
0.56	13.07	77.6124
0.58	15.388	79.9416
0.6	15.6555	137.394
0.62	19.5248	97.2292
0.64	23.5011	25.9334
0.66	30.5621	176.701
0.68	36.054	179.74
0.7	36.3036	205.399
0.72	47.7154	209.927
0.74	58.6814	215.758
0.76	54.7051	209.465
0.78	59.4125	209.923
0.8	74.0516	213.993
0.82	81.1839	213.481
0.84	90.6521	215.325
0.86	93.5407	218.083
0.88	106.771	215.56
0.9	113.832	219.808
0.92	117.648	215.811
0.94	122.034	217.343
0.96	126.902	217.235
0.98	136.834	218.91
1	143.574	218.596
1.02	145.732	217.218
1.04	156.234	217.142
1.06	163.277	218.683
1.08	162.314	216.99
1.1	170.962	218.625
1.12	176.561	219.358
1.14	190.933	219.589
1.16	191.058	219.805
1.18	209.62	219.149
1.2	205.768	218.374
1.22	214.363	218.957
1.24	219.819	218.571
1.26	224.776	219.566
1.28	239.255	219.872
1.3	252.432	218.979
1.32	250.024	218.967
1.34	259.707	219.412
1.36	268.23	219.693
1.38	271.6	220.021
1.4	274.881	220.375
1.42	291.053	220.208
1.44	282.619	219.907
1.46	293.122	219.928
1.48	305.675	220.199
1.5	303.909	219.714
1.52	312.825	219.988
1.54	315.036	219.953
1.56	331.066	220.112
1.58	335.22	220.397
1.6	347.434	220.127
1.62	343.226	220.435
1.64	354.139	220.494
1.66	362.145	219.682
1.68	374.145	220.13
1.7	377.426	220.371
1.72	370.115	220.113
1.74	377.087	220.058
1.76	379.691	219.229
1.78	397.575	219.997
1.8	396.933	219.864
1.82	410.235	219.911
1.84	406.686	219.727
