DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
Nov. 2022	Nov. 2022	Nov. 2022
0	389.065	12.7826
0.016	370.906	12.869
0.0320001	367.803	11.9556
0.0480001	364.884	12.6607
0.0639999	355.703	12.2534
0.0799999	362.538	12.7771
0.096	353.338	12.303
0.112	346.54	12.816
0.128	339.945	12.155
0.144	332.057	13.4723
0.16	309.63	12.8429
0.176	317.906	12.333
0.192	306.952	12.3653
0.208	314.877	14.3232
0.224	305.16	13.227
0.24	295.554	14.3506
0.256	275.861	13.2664
0.272	257.702	13.4559
0.288	271.705	13.3802
0.304	254.728	13.9935
0.32	241.076	13.6649
0.336	243.108	12.8482
0.352	236.735	14.6401
0.368	237.88	13.7117
0.384	218.613	11.3468
0.4	229.863	14.2468
0.416	221.513	13.643
0.432	215.805	13.01
0.448	212.35	12.7433
0.464	209.468	13.3499
0.48	211.149	13.4767
0.496	197.22	13.7494
0.512	203.206	10.86
0.528	175.053	13.7652
0.544	171.598	14.5355
0.56	167.164	12.4756
0.576	157.558	14.7555
0.592	161.382	13.4636
0.608	158.076	14.8904
0.624	143.556	12.9259
0.64	132.102	12.5208
0.656	126.893	14.6896
0.672	120.261	14.4713
0.688	131.696	13.8901
0.704	141.561	13.9851
0.72	101.511	17.3473
0.736	122.57	12.9453
0.752	126.449	12.759
0.768	113.98	16.2578
0.784	73.9854	15.4309
0.8	115.994	14.2481
0.816	100.162	12.7944
0.832	84.6445	15.4167
0.848	95.9131	15.274
0.864	81.9843	19.4629
0.88	68.2587	18.3293
0.896	48.6401	14.7563
0.912	36.6325	23.8464
0.928	52.1315	14.4832
0.944	47.1068	18.31
0.96	50.7645	16.1893
0.976	40.6042	16.5366
0.992	30.4993	27.86
1.008	45.0932	8.0333
1.024	36.5586	56.3899
1.04	14.4276	38.2946
1.056	17.1986	74.9883
1.072	13.1345	46.3055
1.088	48.6586	200.863
1.104	53.0367	186.445
1.12	60.8324	198.097
1.136	47.6979	190.356
1.152	76.3315	198.227
1.168	104.3	199.687
1.184	101.529	197.426
1.2	126.837	196.084
1.216	116.585	199.518
1.232	143.519	196.692
1.248	145.2	197.038
1.264	150.705	196.225
1.28	167.349	195.434
1.296	168.661	195.313
1.312	156.875	195.71
1.328	200.102	196.197
1.344	213.809	194.894
1.36	232.394	196.872
1.376	231.987	196.793
1.392	244.937	196.946
1.408	240.836	196.275
1.424	247.856	195.595
1.44	236.162	195.055
1.456	247.689	195.564
1.472	244.013	196.373
1.488	281.052	195.173
1.504	258.736	195.995
1.52	296.847	195.262
1.536	323.263	195.185
1.552	339.409	194.5
1.568	363.831	195.311
1.584	395.272	196.007
1.6	373.788	194.598
1.616	410.753	195.726
1.632	420.802	194.876
1.648	401.331	195.041
1.664	422.576	195.617
1.68	444.134	195.557
1.696	417.366	195.046
1.712	458.617	195.579
1.728	461.296	195.352
1.744	473.414	195.506
1.76	507.793	196.123
1.776	501.253	195.708
1.792	497.928	194.993
1.808	505.89	195.114
1.824	513.187	195.135
1.84	550.669	195.954
1.856	573.096	195.416
1.872	559.777	194.627
1.888	564.524	195.665
1.904	581.723	195.363
1.92	583.958	195.374
1.936	629.162	196.062
1.952	657.962	196.468
1.968	666.866	196.231
1.984	646.675	196
2	651.219	195.25
1.984	629.291	195.497
1.968	668.603	195.688
1.952	669.36	195.825
1.936	636.016	195.116
1.92	638.51	195.645
1.904	618.115	195.345
1.888	599.586	195.252
1.872	547.159	195.05
1.856	551.611	195.572
1.84	592.511	195.614
1.824	581.169	195.34
1.808	573.059	195.534
1.792	565.651	196.359
1.776	534.062	196.102
1.76	534.376	196.034
1.744	510.804	196.24
1.728	521.241	196.467
1.712	515.625	196.264
1.696	505.373	195.678
1.68	486.235	195.961
1.664	489.597	195.842
1.648	466.062	196.338
1.632	503.95	196.519
1.616	471.862	194.966
1.6	452.447	195.34
1.584	445.058	196.468
1.568	434.251	195.63
1.552	437.761	195.364
1.536	414.983	196.039
1.52	409.534	196.636
1.504	415.02	196.148
1.488	380.032	195.817
1.472	367.359	195.538
1.456	373.973	196.431
1.44	351.971	195.659
1.424	341.626	195.615
1.408	349.163	195.873
1.392	343.898	195.682
1.376	317.666	196.311
1.36	293.448	197.23
1.344	288.386	196.044
1.328	315.985	196.493
1.312	284.322	195.398
1.296	275.972	196.406
1.28	278.503	195.912
1.264	262.228	197.571
1.248	249.518	196.042
1.232	273.312	197.13
1.216	268.195	195.809
1.2	230.934	196.261
1.184	250.83	196.828
1.168	231.765	197.294
1.152	217.209	195.181
1.136	207.067	196.311
1.12	221.088	196.807
1.104	190.496	198.964
1.088	172.78	196.659
1.072	162.214	198.308
1.056	156.93	196.568
1.04	160.57	196.727
1.024	145.791	199.172
1.008	146.197	199.023
0.992	117.712	197.589
0.976	124.436	196.531
0.96	114.959	199.257
0.944	128.962	198.78
0.928	120.372	197.939
0.912	117.49	199.094
