     Hirshfeld analysis
     Atom       Zion       Electron  Charge       Net charge 
 
 1       1     1.400000E+01    -1.400054E+01    -5.399274E-04
 1       2     1.400000E+01    -1.408113E+01    -8.113177E-02
 1       3     1.400000E+01    -1.405653E+01    -5.652552E-02
 1       4     1.400000E+01    -1.407370E+01    -7.369815E-02
 1       5     1.400000E+01    -1.399106E+01     8.942818E-03
 1       6     1.400000E+01    -1.406469E+01    -6.469184E-02
 1       7     1.400000E+01    -1.404452E+01    -4.451757E-02
 1       8     1.400000E+01    -1.404533E+01    -4.533133E-02
 1       9     1.400000E+01    -1.404965E+01    -4.964815E-02
 1      10     1.400000E+01    -1.408256E+01    -8.255881E-02
 1      11     1.400000E+01    -1.404476E+01    -4.475505E-02
 1      12     1.400000E+01    -1.403021E+01    -3.021200E-02
 1      13     1.400000E+01    -1.405291E+01    -5.291156E-02
 1      14     1.400000E+01    -1.408383E+01    -8.383173E-02
 1      15     1.400000E+01    -1.405635E+01    -5.634664E-02
 1      16     1.400000E+01    -1.405037E+01    -5.037370E-02
 1      17     1.400000E+01    -1.400265E+01    -2.654000E-03
 1      18     1.400000E+01    -1.404572E+01    -4.572372E-02
 1      19     1.400000E+01    -1.405511E+01    -5.511073E-02
 1      20     1.400000E+01    -1.408291E+01    -8.290523E-02
 1      21     1.400000E+01    -1.405449E+01    -5.448872E-02
 1      22     1.400000E+01    -1.405603E+01    -5.602767E-02
 1      23     1.400000E+01    -1.406689E+01    -6.689199E-02
 1      24     1.400000E+01    -1.403548E+01    -3.547935E-02
 1      25     1.400000E+01    -1.405737E+01    -5.737178E-02
 1      26     1.400000E+01    -1.403886E+01    -3.886014E-02
 1      27     1.400000E+01    -1.404819E+01    -4.819280E-02  W27 bonded to Te and close to the unpaired vacancy 
 1      28     1.400000E+01    -1.404199E+01    -4.198966E-02  W28 bonded to Te and close to the unpaired vacancy
 1      29     1.400000E+01    -1.403211E+01    -3.211271E-02
 1      30     1.400000E+01    -1.404913E+01    -4.913496E-02
 1      31     1.400000E+01    -1.402748E+01    -2.747887E-02
 1      32     1.400000E+01    -1.410178E+01    -1.017843E-01  W32 bonded to Te and close to the unpaired vacancy
 2      33     1.600000E+01    -1.595214E+01     4.786431E-02
 2      34     1.600000E+01    -1.597500E+01     2.500192E-02
 2      35     1.600000E+01    -1.595611E+01     4.389152E-02
 3      36     1.600000E+01    -1.591036E+01     8.963586E-02
 2      37     1.600000E+01    -1.595842E+01     4.158302E-02
 2      38     1.600000E+01    -1.599530E+01     4.695665E-03
 3      39     1.600000E+01    -1.591363E+01     8.636556E-02 Te2 the Te with a vacancy above it  
 2      40     1.600000E+01    -1.596000E+01     3.999933E-02
 2      41     1.600000E+01    -1.598732E+01     1.268026E-02
 2      42     1.600000E+01    -1.595397E+01     4.603258E-02
 2      43     1.600000E+01    -1.595787E+01     4.213216E-02
 2      44     1.600000E+01    -1.595433E+01     4.566593E-02
 2      45     1.600000E+01    -1.596486E+01     3.513958E-02
 2      46     1.600000E+01    -1.595955E+01     4.045440E-02
 2      47     1.600000E+01    -1.596163E+01     3.836831E-02
 2      48     1.600000E+01    -1.597713E+01     2.286822E-02
 2      49     1.600000E+01    -1.595132E+01     4.868170E-02
 2      50     1.600000E+01    -1.595511E+01     4.488863E-02
 2      51     1.600000E+01    -1.597125E+01     2.875275E-02
 2      52     1.600000E+01    -1.595335E+01     4.664733E-02
 2      53     1.600000E+01    -1.594963E+01     5.037064E-02
 2      54     1.600000E+01    -1.596757E+01     3.242600E-02
 2      55     1.600000E+01    -1.595010E+01     4.989695E-02
 2      56     1.600000E+01    -1.597557E+01     2.442904E-02
 2      57     1.600000E+01    -1.595329E+01     4.670723E-02
 2      58     1.600000E+01    -1.598743E+01     1.257169E-02
 2      59     1.600000E+01    -1.594787E+01     5.213499E-02
 2      60     1.600000E+01    -1.596903E+01     3.097070E-02
 2      61     1.600000E+01    -1.596020E+01     3.980460E-02
 2      62     1.600000E+01    -1.597060E+01     2.939503E-02
 3      63     1.600000E+01    -1.587123E+01     1.287724E-01
 2      64     1.600000E+01    -1.597366E+01     2.633781E-02
 2      65     1.600000E+01    -1.597242E+01     2.757656E-02
 2      66     1.600000E+01    -1.597172E+01     2.827692E-02
 2      67     1.600000E+01    -1.599461E+01     5.392486E-03
 2      68     1.600000E+01    -1.595924E+01     4.075686E-02
 2      69     1.600000E+01    -1.596976E+01     3.023689E-02
 3      70     1.600000E+01    -1.591763E+01     8.236820E-02
 2      71     1.600000E+01    -1.596462E+01     3.537829E-02
 
    Total     1.072000E+03    -1.071999E+03     8.147886E-04









































































