     Hirshfeld analysis
     Atom       Zion       Electron  Charge       Net charge 
 
        1     1.400000E+01    -1.404442E+01    -4.442339E-02  1
        2     1.400000E+01    -1.404084E+01    -4.084076E-02  1
        3     1.400000E+01    -1.404546E+01    -4.546294E-02  1
        4     1.400000E+01    -1.404804E+01    -4.803635E-02  1
        5     1.400000E+01    -1.403520E+01    -3.520440E-02  1
        6     1.400000E+01    -1.403606E+01    -3.606361E-02  1
        7     1.400000E+01    -1.402039E+01    -2.039141E-02  1
        8     1.400000E+01    -1.404822E+01    -4.822384E-02  1
        9     1.400000E+01    -1.404023E+01    -4.023167E-02  1
       10     1.400000E+01    -1.405492E+01    -5.492145E-02  1
       11     1.400000E+01    -1.403381E+01    -3.381289E-02  1
       12     1.400000E+01    -1.406862E+01    -6.862110E-02  1
       13     1.400000E+01    -1.403905E+01    -3.904754E-02  1
       14     1.400000E+01    -1.404173E+01    -4.172687E-02  1
       15     1.400000E+01    -1.404416E+01    -4.416325E-02  1
       16     1.400000E+01    -1.405328E+01    -5.327645E-02  1
       17     1.400000E+01    -1.406454E+01    -6.454426E-02  1
       18     1.400000E+01    -1.403522E+01    -3.522451E-02  1
       19     1.400000E+01    -1.403885E+01    -3.885102E-02  1
       20     1.400000E+01    -1.403798E+01    -3.798313E-02  1
       21     1.400000E+01    -1.405614E+01    -5.614320E-02  1
       22     1.400000E+01    -1.402413E+01    -2.413302E-02  1
       23     1.400000E+01    -1.404266E+01    -4.265613E-02  1
       24     1.400000E+01    -1.404797E+01    -4.796777E-02  1
       25     1.400000E+01    -1.403715E+01    -3.714892E-02  1
       26     1.400000E+01    -1.403591E+01    -3.590769E-02  1
       27     1.400000E+01    -1.401973E+01    -1.973490E-02  1
       28     1.400000E+01    -1.406106E+01    -6.105597E-02  1
       29     1.400000E+01    -1.405548E+01    -5.548408E-02  1
       30     1.400000E+01    -1.403031E+01    -3.031369E-02  1
       31     1.400000E+01    -1.406044E+01    -6.044384E-02  1
       32     1.400000E+01    -1.403929E+01    -3.928713E-02  1
       33     1.600000E+01    -1.598245E+01     1.755016E-02  2 Se1
       34     1.600000E+01    -1.598059E+01     1.940742E-02  2 Se2
       35     1.600000E+01    -1.600812E+01    -8.119509E-03  2 Se3
       36     1.600000E+01    -1.597302E+01     2.698488E-02  2 Se4
       37     1.600000E+01    -1.600202E+01    -2.019942E-03  2 Se5
       38     1.600000E+01    -1.593581E+01     6.419479E-02  3 Te1
       39     1.600000E+01    -1.598229E+01     1.770949E-02  2 Se6 
       40     1.600000E+01    -1.599443E+01     5.569062E-03  2 Se7
       41     1.600000E+01    -1.598201E+01     1.798793E-02  2 Se8 
       42     1.600000E+01    -1.598997E+01     1.003321E-02  2 Se9
       43     1.600000E+01    -1.597247E+01     2.752703E-02  2 Se10
       44     1.600000E+01    -1.595094E+01     4.906304E-02  3 Te2
       45     1.600000E+01    -1.598842E+01     1.158267E-02  2 
       46     1.600000E+01    -1.597880E+01     2.119721E-02  2
       47     1.600000E+01    -1.597325E+01     2.675077E-02  2
       48     1.600000E+01    -1.597764E+01     2.236247E-02  2
       49     1.600000E+01    -1.599401E+01     5.994231E-03  2 Se15
       50     1.600000E+01    -1.599156E+01     8.441592E-03  2
       51     1.600000E+01    -1.598253E+01     1.747126E-02  2
       52     1.600000E+01    -1.598054E+01     1.945960E-02  2
       53     1.600000E+01    -1.597209E+01     2.791271E-02  2
       54     1.600000E+01    -1.598330E+01     1.670390E-02  2
       55     1.600000E+01    -1.598883E+01     1.117223E-02  2
       56     1.600000E+01    -1.596479E+01     3.521038E-02  2
       57     1.600000E+01    -1.597731E+01     2.268715E-02  2
       58     1.600000E+01    -1.597305E+01     2.694785E-02  2 Se24
       59     1.600000E+01    -1.598208E+01     1.791917E-02  2
       60     1.600000E+01    -1.593073E+01     6.926558E-02  3 Te3
       61     1.600000E+01    -1.597896E+01     2.103728E-02  2 Se26 
       62     1.600000E+01    -1.597495E+01     2.504573E-02  2
       63     1.600000E+01    -1.596403E+01     3.596524E-02  2
       64     1.600000E+01    -1.599274E+01     7.261836E-03  2
       65     1.600000E+01    -1.596338E+01     3.661698E-02  2
       66     1.600000E+01    -1.593986E+01     6.013764E-02  3 Te4
       67     1.600000E+01    -1.597358E+01     2.641667E-02  2
       68     1.600000E+01    -1.596987E+01     3.013014E-02  2 Se32
       69     1.600000E+01    -1.597429E+01     2.570804E-02  2
       70     1.600000E+01    -1.597001E+01     2.998935E-02  2
       71     1.600000E+01    -1.597011E+01     2.989104E-02  2
       72     1.600000E+01    -1.597676E+01     2.323602E-02  2
       73     1.600000E+01    -1.594730E+01     5.270235E-02  3 Te5
       74     1.600000E+01    -1.592816E+01     7.184273E-02  3 Te6
       75     1.600000E+01    -1.597309E+01     2.690526E-02  2
       76     1.600000E+01    -1.596852E+01     3.147847E-02  2
       77     1.600000E+01    -1.597791E+01     2.209445E-02  2
       78     1.600000E+01    -1.596791E+01     3.209268E-02  2
       79     1.600000E+01    -1.594062E+01     5.937779E-02  3 Te7
       80     1.600000E+01    -1.596913E+01     3.087075E-02  2
       81     1.600000E+01    -1.593745E+01     6.254649E-02  3 Te8 
       82     1.600000E+01    -1.596607E+01     3.393081E-02  2
 
    Total     1.248000E+03    -1.247999E+03     9.169386E-04



















































































